Band,Channel,Wavelength,RSR
16,1,851.311,0.01
16,1,851.4166,0.0105
16,1,852.399,0.02029
16,1,853.3981,0.03951
16,1,854.4147,0.07312
16,1,855.4031,0.12465
16,1,856.4127,0.20356
16,1,857.3984,0.30425
16,1,858.4096,0.42595
16,1,859.4009,0.55646
16,1,860.3977,0.69155
16,1,861.401,0.80488
16,1,862.4117,0.91092
16,1,863.4055,0.96719
16,1,864.4061,1.0
16,1,865.4127,0.9915
16,1,866.3994,0.9585
16,1,867.4138,0.95876
16,1,868.405,0.93676
16,1,869.3956,0.92263
16,1,870.4088,0.88669
16,1,871.4177,0.84079
16,1,872.3966,0.77201
16,1,873.4173,0.72405
16,1,874.406,0.63961
16,1,875.4104,0.51336
16,1,876.4067,0.33948
16,1,877.419,0.17356
16,1,878.4016,0.08327
16,1,879.4029,0.04379
16,1,880.4016,0.02615
16,1,881.3997,0.01674
16,1,882.3996,0.0115
16,1,882.8335,0.01
16,2,851.6723,0.01
16,2,851.7756,0.01051
16,2,852.758,0.02054
16,2,853.7571,0.03927
16,2,854.7737,0.07309
16,2,855.7621,0.12676
16,2,856.7717,0.20707
16,2,857.7574,0.31153
16,2,858.7686,0.43825
16,2,859.7599,0.57187
16,2,860.7567,0.70354
16,2,861.76,0.81805
16,2,862.7707,0.91038
16,2,863.7645,0.97026
16,2,864.7651,0.99751
16,2,865.7717,1.0
16,2,866.7584,0.98348
16,2,867.7728,0.97044
16,2,868.764,0.95776
16,2,869.7546,0.94211
16,2,870.7678,0.90349
16,2,871.7767,0.83231
16,2,872.7556,0.74024
16,2,873.7763,0.6375
16,2,874.765,0.52115
16,2,875.7694,0.38298
16,2,876.7657,0.2315
16,2,877.778,0.11351
16,2,878.7606,0.05599
16,2,879.7619,0.03114
16,2,880.7606,0.01907
16,2,881.7587,0.01252
16,2,882.3918,0.01
16,3,851.7179,0.01
16,3,852.0342,0.01183
16,3,853.0166,0.02314
16,3,854.0157,0.04425
16,3,855.0323,0.08206
16,3,856.0207,0.14121
16,3,857.0303,0.22771
16,3,858.016,0.3376
16,3,859.0272,0.46895
16,3,860.0185,0.60254
16,3,861.0153,0.73076
16,3,862.0186,0.84022
16,3,863.0293,0.92564
16,3,864.0231,0.9774
16,3,865.0237,1.0
16,3,866.0303,0.99741
16,3,867.017,0.98189
16,3,868.0314,0.96797
16,3,869.0226,0.95841
16,3,870.0132,0.94314
16,3,871.0264,0.89431
16,3,872.0353,0.80917
16,3,873.0142,0.70891
16,3,874.0349,0.59632
16,3,875.0236,0.47622
16,3,876.028,0.33455
16,3,877.0243,0.19167
16,3,878.0366,0.09193
16,3,879.0192,0.04671
16,3,880.0205,0.02634
16,3,881.0192,0.01638
16,3,882.0173,0.01107
16,3,882.3096,0.01
16,4,851.702,0.01
16,4,852.191,0.01308
16,4,853.1735,0.02571
16,4,854.1725,0.04869
16,4,855.1891,0.0896
16,4,856.1776,0.15261
16,4,857.1872,0.24297
16,4,858.1729,0.3564
16,4,859.1841,0.48885
16,4,860.1754,0.62162
16,4,861.1722,0.74706
16,4,862.1755,0.85392
16,4,863.1862,0.93315
16,4,864.18,0.98204
16,4,865.1805,1.0
16,4,866.1872,0.99417
16,4,867.1739,0.9792
16,4,868.1883,0.96595
16,4,869.1794,0.95715
16,4,870.17,0.93888
16,4,871.1833,0.8823
16,4,872.1921,0.7924
16,4,873.1711,0.68893
