Band,Channel,Wavelength,RSR
6,1,1595.4365,0.01
6,1,1596.1855,0.01143
6,1,1598.1567,0.01727
6,1,1600.1655,0.02786
6,1,1602.1594,0.04333
6,1,1604.187,0.07581
6,1,1606.1495,0.11915
6,1,1608.1465,0.175
6,1,1610.1787,0.2546
6,1,1612.1523,0.34169
6,1,1614.1677,0.46266
6,1,1616.1804,0.60836
6,1,1618.1469,0.70012
6,1,1620.1669,0.78652
6,1,1622.1479,0.87498
6,1,1624.1895,1.0
6,1,1626.1469,0.98511
6,1,1628.1678,0.95914
6,1,1630.1534,0.91865
6,1,1632.1517,0.84853
6,1,1634.1611,0.79107
6,1,1636.1791,0.74123
6,1,1638.1515,0.66957
6,1,1640.1764,0.60807
6,1,1642.1488,0.48281
6,1,1644.1665,0.33299
6,1,1646.1754,0.22543
6,1,1648.1729,0.17788
6,1,1650.1565,0.14214
6,1,1652.1741,0.09009
6,1,1654.1755,0.04029
6,1,1656.1611,0.02323
6,1,1658.1805,0.01823
6,1,1660.1877,0.01529
6,1,1662.186,0.0119
6,1,1662.9935,0.01
6,2,1595.4365,0.01
6,2,1596.1855,0.01143
6,2,1598.1567,0.01727
6,2,1600.1655,0.02786
6,2,1602.1594,0.04333
6,2,1604.187,0.07581
6,2,1606.1495,0.11915
6,2,1608.1465,0.175
6,2,1610.1787,0.2546
6,2,1612.1523,0.34169
6,2,1614.1677,0.46266
6,2,1616.1804,0.60836
6,2,1618.1469,0.70012
6,2,1620.1669,0.78652
6,2,1622.1479,0.87498
6,2,1624.1895,1.0
6,2,1626.1469,0.98511
6,2,1628.1678,0.95914
6,2,1630.1534,0.91865
6,2,1632.1517,0.84853
6,2,1634.1611,0.79107
6,2,1636.1791,0.74123
6,2,1638.1515,0.66957
6,2,1640.1764,0.60807
6,2,1642.1488,0.48281
6,2,1644.1665,0.33299
6,2,1646.1754,0.22543
6,2,1648.1729,0.17788
6,2,1650.1565,0.14214
6,2,1652.1741,0.09009
6,2,1654.1755,0.04029
6,2,1656.1611,0.02323
6,2,1658.1805,0.01823
6,2,1660.1877,0.01529
6,2,1662.186,0.0119
6,2,1662.9935,0.01
6,3,1595.4365,0.01
6,3,1596.1855,0.01143
6,3,1598.1567,0.01727
6,3,1600.1655,0.02786
6,3,1602.1594,0.04333
6,3,1604.187,0.07581
6,3,1606.1495,0.11915
6,3,1608.1465,0.175
6,3,1610.1787,0.2546
6,3,1612.1523,0.34169
6,3,1614.1677,0.46266
6,3,1616.1804,0.60836
6,3,1618.1469,0.70012
6,3,1620.1669,0.78652
6,3,1622.1479,0.87498
6,3,1624.1895,1.0
6,3,1626.1469,0.98511
6,3,1628.1678,0.95914
6,3,1630.1534,0.91865
6,3,1632.1517,0.84853
6,3,1634.1611,0.79107
6,3,1636.1791,0.74123
6,3,1638.1515,0.66957
6,3,1640.1764,0.60807
6,3,1642.1488,0.48281
6,3,1644.1665,0.33299
6,3,1646.1754,0.22543
6,3,1648.1729,0.17788
6,3,1650.1565,0.14214
6,3,1652.1741,0.09009
6,3,1654.1755,0.04029
6,3,1656.1611,0.02323
6,3,1658.1805,0.01823
6,3,1660.1877,0.01529
6,3,1662.186,0.0119
6,3,1662.9935,0.01
6,4,1595.1937,0.01
6,4,1597.2192,0.01592
6,4,1599.1904,0.0244
6,4,1601.1992,0.03859
6,4,1603.1931,0.06014
6,4,1605.2207,0.10041
6,4,1607.1832,0.15813
6,4,1609.1802,0.23251
6,4,1611.2124,0.32788
6,4,1613.186,0.4268
6,4,1615.2014,0.53927
6,4,1617.2141,0.6604
6,4,1619.1805,0.75101
6,4,1621.2006,0.85444
6,4,1623.1816,0.93884
6,4,1625.2231,1.0
6,4,1627.1805,0.99345
6,4,1629.2015,0.96934
6,4,1631.1871,0.9335
6,4,1633.1854,0.88355
6,4,1635.1948,0.8242
6,4,1637.2128,0.75464
6,4,1639.1852,0.66217
6,4,1641.2101,0.55724
6,4,1643.1825,0.42479
6,4,1645.2002,0.29794
6,4,1647.2091,0.21075
6,4,1649.2065,0.15523
6,4,1651.1902,0.10409
6,4,1653.2078,0.05592
6,4,1655.2092,0.03034
6,4,1657.1948,0.02074
6,4,1659.2142,0.01535
6,4,1661.2214,0.01115
6,4,1661.8856,0.01
6,5,1595.4513,0.01
6,5,1597.1525,0.01416
6,5,1599.1237,0.02164
6,5,1601.1324,0.03363
6,5,1603.1263,0.05227
6,5,1605.1539,0.0843
6,5,1607.1165,0.13275
6,5,1609.1134,0.20507
6,5,1611.1456,0.30703
6,5,1613.1193,0.42426
6,5,1615.1346,0.54975
6,5,1617.1473,0.67252
6,5,1619.1138,0.77837
6,5,1621.1338,0.88485
6,5,1623.1149,0.96207
6,5,1625.1564,0.99978
6,5,1627.1138,1.0
6,5,1629.1348,0.99003
6,5,1631.1204,0.96744
6,5,1633.1187,0.93645
6,5,1635.1281,0.88737
6,5,1637.146,0.80757
6,5,1639.1184,0.69301
6,5,1641.1433,0.54995
6,5,1643.1157,0.40501
6,5,1645.1334,0.2844
6,5,1647.1423,0.20016
6,5,1649.1398,0.13947
6,5,1651.1234,0.08446
6,5,1653.141,0.04476
6,5,1655.1425,0.02788
6,5,1657.1281,0.01937
6,5,1659.1475,0.01416
6,5,1661.0238,0.01
6,6,1595.0392,0.01
6,6,1595.2102,0.0103
6,6,1597.2426,0.01566
6,6,1599.2137,0.02382
6,6,1601.2225,0.03657
6,6,1603.2164,0.05691
6,6,1605.244,0.09141
6,6,1607.2065,0.14274
6,6,1609.2035,0.21708
6,6,1611.2357,0.31988
6,6,1613.2094,0.43049
6,6,1615.2247,0.54823
6,6,1617.2374,0.66876
6,6,1619.2039,0.78483
6,6,1621.2239,0.89546
6,6,1623.205,0.97343
6,6,1625.2465,1.0
6,6,1627.2039,0.99898
6,6,1629.2249,0.99144
6,6,1631.2104,0.96966
6,6,1633.2087,0.93897
6,6,1635.2181,0.88735
6,6,1637.2361,0.802
6,6,1639.2085,0.68362
6,6,1641.2334,0.54288
6,6,1643.2058,0.40697
6,6,1645.2235,0.29255
6,6,1647.2324,0.21039
6,6,1649.2299,0.14219
6,6,1651.2135,0.07997
6,6,1653.2311,0.04427
6,6,1655.2325,0.02939
6,6,1657.2181,0.02108
6,6,1659.2375,0.01491
6,6,1661.1776,0.01
6,7,1596.7347,0.01
6,7,1597.1525,0.01097
6,7,1599.1237,0.01682
6,7,1601.1324,0.02524
6,7,1603.1263,0.03718
6,7,1605.1539,0.06297
6,7,1607.1165,0.09869
6,7,1609.1134,0.14854
6,7,1611.1456,0.21728
6,7,1613.1193,0.28933
6,7,1615.1346,0.37173
6,7,1617.1473,0.45732
6,7,1619.1138,0.5589
6,7,1621.1338,0.72804
6,7,1623.1149,0.87013
6,7,1625.1564,0.97389
6,7,1627.1138,1.0
6,7,1629.1348,0.87259
6,7,1631.1204,0.84362
6,7,1633.1187,0.8612
6,7,1635.1281,0.75392
6,7,1637.146,0.56701
6,7,1639.1184,0.47466
6,7,1641.1433,0.37464
6,7,1643.1157,0.28276
6,7,1645.1334,0.20685
6,7,1647.1423,0.15351
6,7,1649.1398,0.09969
6,7,1651.1234,0.05467
6,7,1653.141,0.0325
6,7,1655.1425,0.02514
6,7,1657.1281,0.01482
6,7,1659.1475,0.01696
6,7,1660.4186,0.01
6,8,1595.1261,0.01
6,8,1597.0959,0.01473
6,8,1599.0671,0.02215
6,8,1601.0759,0.0336
6,8,1603.0698,0.05274
6,8,1605.0974,0.08486
6,8,1607.0599,0.13356
6,8,1609.0569,0.20748
6,8,1611.0891,0.31039
6,8,1613.0627,0.42521
6,8,1615.0781,0.55063
6,8,1617.0908,0.68758
6,8,1619.0573,0.8182
6,8,1621.0773,0.93676
6,8,1623.0583,0.99476
6,8,1625.0999,1.0
6,8,1627.0573,0.997
6,8,1629.0782,0.99366
6,8,1631.0638,0.97795
6,8,1633.0621,0.95149
6,8,1635.0715,0.89774
6,8,1637.0895,0.80775
6,8,1639.0619,0.69201
6,8,1641.0868,0.556
6,8,1643.0592,0.42908
6,8,1645.0769,0.3212
6,8,1647.0858,0.23125
6,8,1649.0833,0.13766
6,8,1651.0669,0.07573
6,8,1653.0845,0.04919
6,8,1655.0859,0.03459
6,8,1657.0715,0.02531
6,8,1659.0909,0.01622
6,8,1660.7988,0.01
6,9,1595.1302,0.01
6,9,1595.2698,0.01024
6,9,1597.3021,0.01548
6,9,1599.2733,0.02306
6,9,1601.2821,0.03549
6,9,1603.276,0.05671
6,9,1605.3036,0.09193
6,9,1607.2661,0.14452
6,9,1609.2631,0.22132
6,9,1611.2953,0.32412
6,9,1613.2689,0.4365
6,9,1615.2843,0.56475
6,9,1617.297,0.70559
6,9,1619.2634,0.83694
6,9,1621.2834,0.9493
6,9,1623.2645,0.9953
6,9,1625.306,0.99973
6,9,1627.2634,1.0
6,9,1629.2844,0.99811
6,9,1631.27,0.97995
6,9,1633.2683,0.94766
6,9,1635.2777,0.88598
6,9,1637.2957,0.7921
6,9,1639.2681,0.67583
6,9,1641.293,0.54495
6,9,1643.2654,0.42423
6,9,1645.2831,0.3199
6,9,1647.292,0.22271
6,9,1649.2894,0.12903
6,9,1651.2731,0.07435
6,9,1653.2906,0.0497
6,9,1655.2921,0.03548
6,9,1657.2777,0.02473
6,9,1659.2971,0.01505
6,9,1660.762,0.01
6,10,1595.2184,0.01
6,10,1595.415,0.01035
6,10,1597.4474,0.01552
6,10,1599.4186,0.02301
6,10,1601.4274,0.03528
6,10,1603.4213,0.05599
6,10,1605.4489,0.09075
6,10,1607.4114,0.144
6,10,1609.4083,0.22337
6,10,1611.4406,0.32904
6,10,1613.4142,0.44266
6,10,1615.4296,0.57734
6,10,1617.4423,0.72424
6,10,1619.4087,0.85766
6,10,1621.4287,0.96206
6,10,1623.4098,0.99502
6,10,1625.4513,0.99809
6,10,1627.4087,1.0
6,10,1629.4297,0.99842
6,10,1631.4153,0.98059
6,10,1633.4136,0.94617
6,10,1635.423,0.87998
6,10,1637.4409,0.78232
6,10,1639.4133,0.66304
6,10,1641.4382,0.53444
6,10,1643.4106,0.4173
6,10,1645.4283,0.31265
6,10,1647.4373,0.20866
6,10,1649.4347,0.11892
6,10,1651.4183,0.07217
6,10,1653.4359,0.04868
6,10,1655.4374,0.03526
6,10,1657.423,0.02347
6,10,1659.4424,0.01373
6,10,1660.705,0.01
6,11,1595.0844,0.01
6,11,1595.5409,0.01084
6,11,1597.5732,0.01599
6,11,1599.5444,0.02365
6,11,1601.5532,0.03674
6,11,1603.5471,0.05954
6,11,1605.5747,0.09686
6,11,1607.5372,0.1524
6,11,1609.5342,0.23199
6,11,1611.5664,0.33655
6,11,1613.54,0.45071
6,11,1615.5554,0.5897
6,11,1617.5681,0.73626
6,11,1619.5345,0.8657
6,11,1621.5546,0.96552
