Band,Channel,Wavelength,RSR
26,1,1334.8564,0.01
26,1,1335.34,0.0107
26,1,1337.3702,0.01474
26,1,1339.345,0.02069
26,1,1341.3679,0.02802
26,1,1343.3826,0.03923
26,1,1345.3865,0.05426
26,1,1347.3774,0.0735
26,1,1349.3544,0.09704
26,1,1351.3682,0.13047
26,1,1353.3669,0.17737
26,1,1355.3518,0.22047
26,1,1357.3752,0.26883
26,1,1359.3389,0.32209
26,1,1361.3464,0.389
26,1,1363.3516,0.45173
26,1,1365.358,0.512
26,1,1367.3694,0.58246
26,1,1369.3387,0.65962
26,1,1371.3696,0.73561
26,1,1373.3625,0.79631
26,1,1375.3691,0.86745
26,1,1377.3378,0.9186
26,1,1379.3716,0.9799
26,1,1381.3649,1.0
26,1,1383.3674,0.99073
26,1,1385.3768,0.97787
26,1,1387.337,0.96589
26,1,1389.351,0.92604
26,1,1391.3621,0.89844
26,1,1393.3674,0.88823
26,1,1395.364,0.83523
26,1,1397.3494,0.74522
26,1,1399.3735,0.67356
26,1,1401.3827,0.56151
26,1,1403.3766,0.42775
26,1,1405.3558,0.31588
26,1,1407.3718,0.23438
26,1,1409.376,0.16002
26,1,1411.3715,0.10491
26,1,1413.3616,0.07231
26,1,1415.3502,0.05156
26,1,1417.3411,0.03495
26,1,1419.338,0.02258
26,1,1421.344,0.01367
26,1,1422.8523,0.01
26,2,1334.8564,0.01
26,2,1335.34,0.0107
26,2,1337.3702,0.01474
26,2,1339.345,0.02069
26,2,1341.3679,0.02802
26,2,1343.3826,0.03923
26,2,1345.3865,0.05426
26,2,1347.3774,0.0735
26,2,1349.3544,0.09704
26,2,1351.3682,0.13047
26,2,1353.3669,0.17737
26,2,1355.3518,0.22047
26,2,1357.3752,0.26883
26,2,1359.3389,0.32209
26,2,1361.3464,0.389
26,2,1363.3516,0.45173
26,2,1365.358,0.512
26,2,1367.3694,0.58246
26,2,1369.3387,0.65962
26,2,1371.3696,0.73561
26,2,1373.3625,0.79631
26,2,1375.3691,0.86745
26,2,1377.3378,0.9186
26,2,1379.3716,0.9799
26,2,1381.3649,1.0
26,2,1383.3674,0.99073
26,2,1385.3768,0.97787
26,2,1387.337,0.96589
26,2,1389.351,0.92604
