Band,Channel,Wavelength,RSR
15,1,735.4958,0.01
15,1,736.265,0.01531
15,1,737.2676,0.03073
15,1,738.2521,0.06754
15,1,739.2689,0.14133
15,1,740.2671,0.24956
15,1,741.2455,0.3662
15,1,742.2546,0.52058
15,1,743.2676,0.69631
15,1,744.2568,0.82883
15,1,745.2465,0.90702
15,1,746.261,0.96758
15,1,747.2469,1.0
15,1,748.2546,0.9546
15,1,749.2563,0.88448
15,1,750.2515,0.79943
15,1,751.2646,0.66355
15,1,752.2446,0.44953
15,1,753.2671,0.21666
15,1,754.2574,0.09373
15,1,755.2668,0.04279
15,1,756.2469,0.0204
15,1,757.204,0.01
15,2,736.0319,0.01
15,2,736.8488,0.01618
15,2,737.8515,0.03452
15,2,738.8359,0.07989
15,2,739.8527,0.17532
15,2,740.851,0.31246
15,2,741.8293,0.46636
15,2,742.8384,0.64401
15,2,743.8514,0.81082
15,2,744.8406,0.91849
15,2,745.8303,0.96899
15,2,746.8449,0.99958
15,2,747.8308,1.0
15,2,748.8384,0.92952
15,2,749.8402,0.81295
15,2,750.8353,0.67612
15,2,751.8484,0.50521
15,2,752.8284,0.30738
15,2,753.851,0.13992
15,2,754.8413,0.0612
15,2,755.8506,0.02783
15,2,756.8308,0.01292
15,2,757.2435,0.01
15,3,736.1697,0.01
15,3,737.0961,0.01805
15,3,738.0988,0.0397
15,3,739.0832,0.0937
15,3,740.1,0.20132
15,3,741.0982,0.34754
15,3,742.0766,0.50955
15,3,743.0857,0.68736
15,3,744.0987,0.84404
15,3,745.0879,0.93531
15,3,746.0776,0.97431
15,3,747.0922,1.0
15,3,748.0781,0.98524
15,3,749.0857,0.89671
15,3,750.0875,0.76938
15,3,751.0826,0.62432
15,3,752.0957,0.45113
15,3,753.0757,0.26009
15,3,754.0982,0.11431
15,3,755.0886,0.05063
15,3,756.0979,0.02289
15,3,757.0781,0.01068
15,3,757.194,0.01
15,4,736.1877,0.01
15,4,736.2365,0.01021
15,4,737.233,0.02003
15,4,738.2357,0.04479
15,4,739.2202,0.10477
15,4,740.2369,0.21968
15,4,741.2352,0.36919
15,4,742.2136,0.53335
15,4,743.2227,0.71041
15,4,744.2357,0.86017
15,4,745.2249,0.94331
15,4,746.2145,0.97811
15,4,747.2291,1.0
15,4,748.215,0.97598
15,4,749.2227,0.87892
15,4,750.2244,0.74812
15,4,751.2195,0.60281
15,4,752.2327,0.42475
15,4,753.2126,0.23615
15,4,754.2352,0.10318
15,4,755.2255,0.04539
15,4,756.2349,0.02085
15,4,757.1904,0.01
15,5,736.1838,0.01
15,5,736.3057,0.01056
15,5,737.3022,0.02093
15,5,738.3049,0.0475
15,5,739.2894,0.11137
15,5,740.3062,0.22936
15,5,741.3044,0.38048
15,5,742.2828,0.54567
15,5,743.2919,0.72167
15,5,744.3049,0.86827
15,5,745.2941,0.94642
15,5,746.2838,0.98051
15,5,747.2983,1.0
15,5,748.2842,0.96983
15,5,749.2919,0.86902
15,5,750.2936,0.73747
15,5,751.2888,0.59018
15,5,752.3019,0.41167
15,5,753.2819,0.22541
15,5,754.3044,0.09723
15,5,755.2947,0.04335
15,5,756.3041,0.01968
15,5,757.2163,0.01
15,6,736.1221,0.01
15,6,736.312,0.01088
15,6,737.3086,0.02145
15,6,738.3113,0.04872
15,6,739.2957,0.11336
15,6,740.3125,0.23116
15,6,741.3107,0.38187
15,6,742.2891,0.54708
15,6,743.2982,0.72253
15,6,744.3112,0.86834
15,6,745.3004,0.94814
15,6,746.2901,0.98221
15,6,747.3047,1.0
15,6,748.2906,0.96861
15,6,749.2982,0.86835
15,6,750.3,0.73684
15,6,751.2951,0.59053
15,6,752.3082,0.41246
15,6,753.2882,0.22611
15,6,754.3107,0.09804
15,6,755.3011,0.0434
15,6,756.3104,0.01989
15,6,757.2284,0.01
15,7,736.15,0.01
15,7,736.2574,0.01048
15,7,737.254,0.0208
15,7,738.2567,0.04728
15,7,739.2411,0.10992
15,7,740.2579,0.22437
15,7,741.2562,0.37285
15,7,742.2346,0.53754
15,7,743.2437,0.71253
15,7,744.2567,0.86136
15,7,745.2458,0.94589
15,7,746.2355,0.98235
15,7,747.2501,1.0
15,7,748.236,0.96999
15,7,749.2437,0.87293
15,7,750.2454,0.74365
15,7,751.2405,0.5986
15,7,752.2537,0.42418
15,7,753.2336,0.23734
15,7,754.2562,0.10328
15,7,755.2465,0.04575
15,7,756.2559,0.02082
15,7,757.22,0.01
15,8,735.5128,0.01
15,8,736.2019,0.01314
15,8,737.1985,0.02309
15,8,738.2012,0.04798
15,8,739.1856,0.10632
15,8,740.2024,0.21418
15,8,741.2006,0.35758
15,8,742.179,0.52025
15,8,743.1881,0.69482
15,8,744.2011,0.84797
15,8,745.1903,0.94215
15,8,746.18,0.98314
15,8,747.1946,1.0
15,8,748.1805,0.97369
15,8,749.1881,0.88256
15,8,750.1899,0.75507
15,8,751.185,0.61183
15,8,752.1981,0.44282
15,8,753.1781,0.25652
15,8,754.2006,0.11289
15,8,755.191,0.04962
15,8,756.2003,0.02247
15,8,757.1805,0.01046
15,8,757.2609,0.01
15,9,736.0349,0.01
15,9,736.9537,0.01828
15,9,737.9564,0.04129
15,9,738.9409,0.09623
15,9,739.9576,0.19787
15,9,740.9559,0.33116
15,9,741.9343,0.48368
15,9,742.9434,0.65249
15,9,743.9564,0.80972
15,9,744.9456,0.91704
15,9,745.9352,0.9723
15,9,746.9498,1.0
15,9,747.9357,0.97781
15,9,748.9434,0.89007
15,9,749.9451,0.77179
15,9,750.9402,0.64353
15,9,751.9534,0.49225
15,9,752.9333,0.3072
15,9,753.9559,0.14075
15,9,754.9462,0.0615
15,9,755.9556,0.02781
15,9,756.9357,0.013
15,9,757.3574,0.01
15,10,736.0349,0.01
15,10,736.9537,0.01828
