Band,Channel,Wavelength,RSR
12,1,537.4,0.01
12,1,538.4134,0.03348
12,1,539.4026,0.08051
12,1,540.387,0.16583
12,1,541.3928,0.32129
12,1,542.3919,0.53595
12,1,543.4106,0.77242
12,1,543.4106,0.77203
12,1,544.3954,0.91937
12,1,545.3999,0.97803
12,1,546.3982,0.99607
12,1,547.3914,1.0
12,1,548.407,0.98711
12,1,549.3945,0.93386
12,1,550.4078,0.8435
12,1,551.3965,0.69691
12,1,552.3884,0.50366
12,1,552.3884,0.50327
12,1,553.411,0.28641
12,1,554.3868,0.11618
12,1,555.3953,0.03324
12,1,556.3781,0.01
12,2,537.1947,0.01
12,2,537.773,0.01756
12,2,538.7933,0.05812
12,2,539.7825,0.13317
12,2,540.7669,0.24969
12,2,541.7727,0.41827
12,2,542.7718,0.62904
12,2,543.7905,0.83894
12,2,543.7905,0.839
12,2,544.7753,0.95316
12,2,545.7798,0.98812
12,2,546.7781,1.0
12,2,547.7713,0.98921
12,2,548.7869,0.95667
12,2,549.7744,0.89347
12,2,550.7877,0.78989
12,2,551.7764,0.64285
12,2,552.7683,0.45611
12,2,552.7683,0.45582
12,2,553.7909,0.24671
12,2,554.7667,0.09378
12,2,555.7752,0.02612
12,2,556.6619,0.01
12,3,537.2297,0.01
12,3,537.9899,0.02326
12,3,539.0101,0.07241
12,3,539.9993,0.15683
12,3,540.9838,0.28448
12,3,541.9896,0.46384
12,3,542.9886,0.67823
12,3,544.0073,0.87459
12,3,544.0073,0.87479
12,3,544.9921,0.96682
12,3,545.9966,0.99284
12,3,546.9949,1.0
12,3,547.9882,0.98423
12,3,549.0037,0.94606
12,3,549.9913,0.87648
12,3,551.0045,0.76273
12,3,551.9932,0.60507
12,3,552.9852,0.4118
12,3,552.9852,0.4115
12,3,554.0078,0.20886
12,3,554.9835,0.07439
12,3,555.9921,0.02035
12,3,556.7358,0.01
12,4,537.2759,0.01
12,4,538.1266,0.02761
12,4,539.1469,0.08263
12,4,540.1361,0.17261
12,4,541.1205,0.30623
12,4,542.1263,0.49162
12,4,543.1254,0.70708
12,4,544.1441,0.89459
12,4,544.1441,0.89483
12,4,545.1289,0.97429
12,4,546.1334,0.99576
12,4,547.1317,1.0
12,4,548.1249,0.98057
12,4,549.1405,0.93754
12,4,550.1281,0.86252
12,4,551.1413,0.74226
12,4,552.13,0.57932
12,4,553.1219,0.38423
12,4,553.1219,0.38385
12,4,554.1445,0.18678
12,4,555.1203,0.06391
12,4,556.1288,0.01754
12,4,556.7621,0.01
12,5,537.2973,0.01
12,5,538.2103,0.03108
12,5,539.2305,0.08981
12,5,540.2197,0.18362
12,5,541.2042,0.32167
12,5,542.21,0.50941
12,5,543.209,0.72415
12,5,544.2277,0.90698
12,5,544.2277,0.9071
12,5,545.2125,0.97955
12,5,546.217,0.99802
12,5,547.2153,1.0
12,5,548.2086,0.97863
12,5,549.2241,0.9323
