Band,Channel,Wavelength,RSR
33,1,13064.0918,0.01
33,1,13075.9385,0.01304
33,1,13095.958,0.02012
33,1,13115.8545,0.03563
33,1,13135.6885,0.06446
33,1,13155.9043,0.1194
33,1,13175.8057,0.21362
33,1,13195.8252,0.36063
33,1,13216.0068,0.55478
33,1,13235.9766,0.75349
33,1,13255.7285,0.90438
33,1,13276.0352,0.98513
33,1,13295.667,1.0
33,1,13315.7754,0.98343
33,1,13335.9082,0.96805
33,1,13356.0107,0.96523
33,1,13376.0244,0.95811
33,1,13395.9033,0.94049
33,1,13416.0059,0.91696
33,1,13435.9121,0.89908
33,1,13456.0039,0.88404
33,1,13475.9082,0.84619
33,1,13495.6641,0.74443
33,1,13515.6982,0.57631
33,1,13535.6973,0.38265
33,1,13555.7275,0.22357
33,1,13575.8516,0.12142
33,1,13595.7354,0.06695
33,1,13615.792,0.03821
33,1,13636.0322,0.02165
33,1,13655.6611,0.01332
33,1,13672.2305,0.01
33,2,13064.0918,0.01
33,2,13075.9385,0.01304
33,2,13095.958,0.02012
33,2,13115.8545,0.03563
33,2,13135.6885,0.06446
33,2,13155.9043,0.1194
33,2,13175.8057,0.21362
33,2,13195.8252,0.36063
33,2,13216.0068,0.55478
33,2,13235.9766,0.75349
33,2,13255.7285,0.90438
33,2,13276.0352,0.98513
33,2,13295.667,1.0
33,2,13315.7754,0.98343
33,2,13335.9082,0.96805
33,2,13356.0107,0.96523
33,2,13376.0244,0.95811
33,2,13395.9033,0.94049
33,2,13416.0059,0.91696
33,2,13435.9121,0.89908
33,2,13456.0039,0.88404
33,2,13475.9082,0.84619
33,2,13495.6641,0.74443
33,2,13515.6982,0.57631
33,2,13535.6973,0.38265
33,2,13555.7275,0.22357
33,2,13575.8516,0.12142
33,2,13595.7354,0.06695
33,2,13615.792,0.03821
33,2,13636.0322,0.02165
33,2,13655.6611,0.01332
33,2,13672.2305,0.01
33,3,13069.8721,0.01
33,3,13082.6406,0.01315
33,3,13102.6602,0.02243
33,3,13122.5566,0.04004
33,3,13142.3906,0.07408
33,3,13162.6064,0.14091
33,3,13182.5078,0.25591
33,3,13202.5273,0.4269
33,3,13222.709,0.62976
33,3,13242.6787,0.81467
33,3,13262.4307,0.93433
33,3,13282.7373,0.99248
33,3,13302.3691,1.0
33,3,13322.4775,0.98461
33,3,13342.6104,0.97103
33,3,13362.7129,0.96678
33,3,13382.7266,0.95772
33,3,13402.6055,0.94038
33,3,13422.708,0.91545
33,3,13442.6143,0.898
33,3,13462.7061,0.87477
33,3,13482.6104,0.81567
33,3,13502.3662,0.6892
33,3,13522.4004,0.50704
33,3,13542.3994,0.32257
33,3,13562.4297,0.18353
33,3,13582.5537,0.09831
33,3,13602.4375,0.05385
33,3,13622.4941,0.03007
33,3,13642.7344,0.01776
33,3,13662.3633,0.01099
33,3,13667.1963,0.01
33,4,13069.4072,0.01
33,4,13086.2471,0.01473
33,4,13106.2666,0.02512
33,4,13126.1631,0.04459
33,4,13145.9971,0.08202
33,4,13166.2129,0.15656
33,4,13186.1143,0.28307
33,4,13206.1338,0.46734
33,4,13226.3154,0.67412
33,4,13246.2852,0.84868
33,4,13266.0371,0.95137
33,4,13286.3438,0.99607
33,4,13305.9756,1.0
33,4,13326.084,0.98617
33,4,13346.2168,0.97475
33,4,13366.3193,0.96956
33,4,13386.333,0.95885
33,4,13406.2119,0.94228
33,4,13426.3145,0.91969
33,4,13446.2207,0.90103
33,4,13466.3125,0.87089
33,4,13486.2168,0.79688
33,4,13505.9727,0.65904
33,4,13526.0068,0.47391
33,4,13546.0059,0.29607
33,4,13566.0361,0.16746
33,4,13586.1602,0.09056
33,4,13606.0439,0.04938
33,4,13626.1006,0.02826
33,4,13646.3408,0.01652
33,4,13665.3574,0.01
33,5,13067.5986,0.01
33,5,13068.541,0.01018
33,5,13088.7275,0.01624
33,5,13108.7471,0.02716
33,5,13128.6436,0.04822
33,5,13148.4775,0.08903
33,5,13168.6934,0.16865
33,5,13188.5947,0.3034
33,5,13208.6143,0.49512
33,5,13228.7959,0.70418
33,5,13248.7656,0.87081
33,5,13268.5176,0.96153
33,5,13288.8242,0.99751
33,5,13308.4561,1.0
33,5,13328.5645,0.9877
33,5,13348.6973,0.97791
33,5,13368.7998,0.97117
33,5,13388.8135,0.95996
33,5,13408.6924,0.94368
33,5,13428.7949,0.92371
33,5,13448.7012,0.90534
33,5,13468.793,0.86906
33,5,13488.6973,0.78527
33,5,13508.4531,0.63665
33,5,13528.4873,0.44831
33,5,13548.4863,0.27733
33,5,13568.5166,0.15652
33,5,13588.6406,0.08473
33,5,13608.5244,0.04669
33,5,13628.5811,0.02713
33,5,13648.8213,0.01631
33,5,13668.4502,0.01001
33,5,13668.5059,0.01
33,6,13066.5908,0.01
33,6,13069.9717,0.0107
33,6,13090.1582,0.01706
33,6,13110.1777,0.02954
33,6,13130.0742,0.05169
33,6,13149.9082,0.0951
33,6,13170.124,0.17779
33,6,13190.0254,0.31626
33,6,13210.0449,0.50896
33,6,13230.2266,0.717
33,6,13250.1963,0.87969
33,6,13269.9482,0.96606
33,6,13290.2549,0.99785
33,6,13309.8867,1.0
33,6,13329.9951,0.98724
33,6,13350.1279,0.97907
33,6,13370.2305,0.97178
33,6,13390.2441,0.9597
33,6,13410.123,0.94424
33,6,13430.2256,0.92638
33,6,13450.1318,0.91005
33,6,13470.2236,0.87193
33,6,13490.1279,0.78044
33,6,13509.8838,0.62444
33,6,13529.918,0.43254
33,6,13549.917,0.26352
33,6,13569.9473,0.14852
33,6,13590.0713,0.08076
33,6,13609.9551,0.04547
33,6,13630.0117,0.02645
33,6,13650.252,0.01578
33,6,13669.7461,0.01
33,7,13067.2744,0.01
33,7,13070.9004,0.01074
33,7,13091.0869,0.01817
33,7,13111.1064,0.03092
33,7,13131.0029,0.05519
