channel,sensor,slope,intercept
5.0,0.0,0.007458336674139415,-0.9267817094066241
5.0,1.0,0.00991437232775232,-1.1724348465820054
5.0,2.0,0.009775417533126749,-1.389102406271146
5.0,3.0,0.005424881037593019,-0.46788598311859453
5.0,4.0,0.0019339141186491319,0.05794744846151573
5.0,5.0,0.0009877383045989562,-0.5137418904244205
5.0,6.0,0.0,-0.4326408187832619
5.0,7.0,-0.004495831422112734,0.10932826461814871
5.0,8.0,-0.012705515946985003,2.107069331100016
5.0,9.0,-0.01861344171872405,2.6282426104063488
6.0,0.0,-0.024399658656341625,3.19564808951262
6.0,1.0,-0.005362656821234683,1.3186111087958616
6.0,2.0,0.0,-0.028789057342680377
6.0,3.0,0.0022073512172233667,-1.0393756095936868
6.0,4.0,0.0038155812207180907,-0.7184365487389235
6.0,5.0,0.005733033195897782,-1.0397549572098028
6.0,6.0,0.007759534717854751,-1.4027065434708819
6.0,7.0,0.006313431365058233,-0.8510624856673119
6.0,8.0,0.0050016548895329025,-0.5928123419180699
6.0,9.0,-0.0014526783161761352,1.158678345632898
7.0,0.0,0.011511836053651343,-1.585922971249631
7.0,1.0,0.006830372722943545,-1.0188935478638395
7.0,2.0,0.0,-0.22831352252311068
7.0,3.0,-0.0034204611617347246,0.2692508362935889
7.0,4.0,-0.004569399569279006,-0.06640040554187254
7.0,5.0,-0.003154220617131055,0.5004972419197673
7.0,6.0,-0.003625712836743698,0.7381661937038906
7.0,7.0,-0.0021989698782310754,0.4183565511604216
7.0,8.0,-0.0028944928780799085,0.7461974098295757
7.0,9.0,0.0,0.2270622142712122
8.0,0.0,-0.0033274905051485924,-4.458322820467334
8.0,1.0,-0.00362910627059316,-2.769551010782064
8.0,2.0,-0.002713994607799067,-2.1349374814769
8.0,3.0,-0.0006861950134688179,-0.7559374883650922
8.0,4.0,0.0011369286132481508,0.8921282714008929
8.0,5.0,0.0015139816091432393,1.9351293328710715
8.0,6.0,0.0020706582943664322,2.7384210855830853
8.0,7.0,0.002195142189677883,1.8477661310155469
8.0,8.0,0.0024243749962961875,1.537765869760336
8.0,9.0,0.0010157006942777516,1.167538110460438
9.0,0.0,0.0010325418413579346,-8.239439626167227
9.0,1.0,0.0007253930878397179,-6.150045602264526
9.0,2.0,0.0002593943020076617,-4.496568826107766
9.0,3.0,0.00025150398289823983,-1.8865186040484867
