channel,sensor,slope,intercept
5.0,0.0,0.005287791796522466,-0.6934258647612583
5.0,1.0,0.00645538017671477,-0.5214540262401968
5.0,2.0,0.007301270975502163,-1.0112144964818564
5.0,3.0,0.0045871670172899165,-0.3629933407986582
5.0,4.0,0.002789540809244349,-0.19522439344894288
5.0,5.0,0.002817662173186988,-0.9133876160763632
5.0,6.0,0.0006744975418417486,-0.19049460318080838
5.0,7.0,-0.0023260708877824014,-0.14352087849108447
5.0,8.0,-0.010695302391192395,1.779897110318045
5.0,9.0,-0.01689193721132765,2.2518181091611282
6.0,0.0,-0.016014876220689072,2.57350975589958
6.0,1.0,-0.004824605814999569,1.473810342459391
6.0,2.0,-0.0002835108377183254,0.007859283432302105
6.0,3.0,0.0011223402295438903,-0.8630677836433616
6.0,4.0,0.0034748278317449795,-0.6860119577961771
6.0,5.0,0.006151269815803888,-1.3842686514768785
6.0,6.0,0.007083495075784461,-1.420538420540322
6.0,7.0,0.005467006924844502,-1.061361333578285
6.0,8.0,0.0032747718146555298,-0.445279144006795
6.0,9.0,-0.0054507188189703605,1.8053479092505587
7.0,0.0,0.020877372319235577,-3.1382621468241982
7.0,1.0,0.011433894501247861,-1.8029092529709092
7.0,2.0,0.0021558007369239375,-0.5645451968111483
7.0,3.0,-0.0032836480405095086,0.32536757392603616
7.0,4.0,-0.006637030411965796,0.4255516851963308
7.0,5.0,-0.006331317282873774,1.0644651099845495
7.0,6.0,-0.004621483509405384,0.8422906875732488
7.0,7.0,-0.004647156005087234,0.8903752594184544
7.0,8.0,-0.0057363146758921775,1.1843142461396958
7.0,9.0,-0.0032101176316733757,0.7733520343679107
8.0,0.0,-0.0018185475987611015,1.3181210663696603
8.0,1.0,-0.0028602951066984787,3.445985395880088
8.0,2.0,-0.002463670418637338,3.031796576704437
8.0,3.0,-0.0005210704812303483,1.0541750837951769
8.0,4.0,0.0013645321305969257,-0.9062039168434572
8.0,5.0,0.0016618674036086233,-1.438277530103483
8.0,6.0,0.002199218575717057,-2.3209478681922073
8.0,7.0,0.0013460378878635438,-1.1305024485844155
8.0,8.0,0.0013061488198059554,-1.7676220983114437
8.0,9.0,-0.00021422121226481307,-1.286524260714389
9.0,0.0,-0.0004087134001476778,1.6426129222230854
9.0,1.0,-0.0007840456581476779,1.828718822134772
9.0,2.0,-0.0008667577752053225,0.9749129436792583
9.0,3.0,-6.357811192525927e-05,-0.2966766513769711
9.0,4.0,0.0004181506965486622,-0.8071977385534063
9.0,5.0,5.525687944887636e-05,-0.4442346250429001
9.0,6.0,0.00024090818940983405,-0.9257066868913134
9.0,7.0,0.0003431847299208348,-0.8581844934746357
9.0,8.0,0.0008159563800249834,-0.9382166883885268
9.0,9.0,0.00024963807007274524,-0.17602780430938103
10.0,0.0,-0.002484914017147346,4.280678027277157
10.0,1.0,-0.0013615599123055037,1.9997231774404967
10.0,2.0,-0.000781257360358354,1.084159160914912
10.0,3.0,-0.0005402687226677491,0.9487612905328995
10.0,4.0,-0.0001738267534806986,-0.8367904364563796
10.0,5.0,0.0004438672225996494,-1.4832475749852807
10.0,6.0,0.0012316211221440035,-2.5393948762921688
10.0,7.0,0.001075846298781013,-1.4474542925695881
10.0,8.0,0.0011007178286076198,-0.9562992782530092
10.0,9.0,0.0014897742938273645,-1.050135197609027
11.0,0.0,-0.0010870352059730247,1.0271911677575494
11.0,1.0,-0.0009814198016154037,1.3522784537497123
11.0,2.0,-0.000914781439684057,0.9422319832028542
11.0,3.0,-0.0007062427553082917,0.355316479954088
11.0,4.0,-0.00032786412464261,-0.50822515075606
11.0,5.0,-0.00034666774392511866,-0.2923793401880306
11.0,6.0,0.00015885979454084823,-0.3179511603438304
11.0,7.0,0.0008053801929764754,-0.8193228500399141
11.0,8.0,0.0014087681091388671,-0.9265651104916279
