Band,Channel,Wavelength,RSR
21,1,3892.4902,0.01
21,1,3892.5737,0.01006
21,1,3897.5679,0.01444
21,1,3902.5398,0.02163
21,1,3907.7048,0.0335
21,1,3912.6335,0.05071
21,1,3917.543,0.07732
21,1,3922.6472,0.12188
21,1,3927.7346,0.19238
21,1,3932.5969,0.29187
21,1,3937.6597,0.42663
21,1,3942.7151,0.57674
21,1,3947.5554,0.70628
21,1,3952.6055,0.81764
21,1,3957.658,0.89259
21,1,3962.7166,0.93931
21,1,3967.573,0.96042
21,1,3972.6528,0.9844
21,1,3977.7476,1.0
21,1,3982.6462,0.99439
21,1,3987.563,0.98663
21,1,3992.7139,0.98289
21,1,3997.6709,0.95763
21,1,4002.6487,0.93563
21,1,4007.6472,0.87997
21,1,4012.6663,0.79025
21,1,4017.7051,0.67182
21,1,4022.5417,0.5274
21,1,4027.615,0.37824
21,1,4032.7031,0.25053
21,1,4037.5818,0.1593
21,1,4042.6924,0.09987
21,1,4047.5874,0.06507
21,1,4052.7092,0.04298
21,1,4057.6099,0.02944
21,1,4062.7317,0.0198
21,1,4067.6267,0.01375
21,1,4071.9329,0.01
21,2,3892.4902,0.01
21,2,3892.5737,0.01006
21,2,3897.5679,0.01444
21,2,3902.5398,0.02163
21,2,3907.7048,0.0335
21,2,3912.6335,0.05071
21,2,3917.543,0.07732
21,2,3922.6472,0.12188
21,2,3927.7346,0.19238
21,2,3932.5969,0.29187
21,2,3937.6597,0.42663
21,2,3942.7151,0.57674
21,2,3947.5554,0.70628
21,2,3952.6055,0.81764
21,2,3957.658,0.89259
21,2,3962.7166,0.93931
21,2,3967.573,0.96042
21,2,3972.6528,0.9844
21,2,3977.7476,1.0
21,2,3982.6462,0.99439
21,2,3987.563,0.98663
21,2,3992.7139,0.98289
21,2,3997.6709,0.95763
21,2,4002.6487,0.93563
21,2,4007.6472,0.87997
21,2,4012.6663,0.79025
21,2,4017.7051,0.67182
21,2,4022.5417,0.5274
21,2,4027.615,0.37824
21,2,4032.7031,0.25053
21,2,4037.5818,0.1593
21,2,4042.6924,0.09987
21,2,4047.5874,0.06507
21,2,4052.7092,0.04298
21,2,4057.6099,0.02944
21,2,4062.7317,0.0198
21,2,4067.6267,0.01375
21,2,4071.9329,0.01
21,3,3892.7346,0.01
21,3,3895.2302,0.01199
21,3,3900.2244,0.01701
21,3,3905.1963,0.02466
21,3,3910.3613,0.0376
21,3,3915.29,0.05964
21,3,3920.1995,0.09514
21,3,3925.3037,0.1554
21,3,3930.3911,0.24968
21,3,3935.2534,0.36396
21,3,3940.3162,0.50501
21,3,3945.3716,0.64348
21,3,3950.2119,0.75264
21,3,3955.262,0.8435
21,3,3960.3145,0.907
21,3,3965.373,0.95024
21,3,3970.2295,0.97183
21,3,3975.3093,0.99154
21,3,3980.4041,1.0
21,3,3985.3027,0.99213
21,3,3990.2195,0.9808
21,3,3995.3704,0.96555
21,3,4000.3274,0.92881
21,3,4005.3052,0.88244
21,3,4010.3037,0.80059
21,3,4015.3228,0.69074
21,3,4020.3616,0.56342
21,3,4025.1982,0.4338
21,3,4030.2715,0.30795
21,3,4035.3596,0.21015
21,3,4040.2383,0.13904
21,3,4045.3489,0.09173
21,3,4050.2439,0.06079
21,3,4055.3657,0.03943
