Band,Channel,Wavelength,RSR
24,1,4350.3154,0.01
24,1,4354.4097,0.01377
24,1,4359.4331,0.02084
24,1,4364.4429,0.03081
24,1,4369.4434,0.04725
24,1,4374.437,0.07159
24,1,4379.4277,0.10448
24,1,4384.4185,0.14868
24,1,4389.4131,0.20874
24,1,4394.4146,0.28943
24,1,4399.4268,0.40283
24,1,4404.4517,0.55151
24,1,4409.2822,0.70146
24,1,4414.3408,0.84143
24,1,4419.4185,0.94176
24,1,4424.3052,0.98003
24,1,4429.4253,0.98963
24,1,4434.3535,0.9925
24,1,4439.3018,0.98835
24,1,4444.27,0.99081
24,1,4449.2568,0.98307
24,1,4454.2612,0.98385
24,1,4459.2812,0.98994
24,1,4464.3145,0.99141
24,1,4469.3594,1.0
24,1,4474.4121,0.99246
24,1,4479.2505,0.95147
24,1,4484.3115,0.87342
24,1,4489.3721,0.74345
24,1,4494.4297,0.57419
24,1,4499.2607,0.40444
24,1,4504.3027,0.25562
24,1,4509.3325,0.14983
24,1,4514.3481,0.08563
24,1,4519.3472,0.05034
24,1,4524.3276,0.03192
24,1,4529.2886,0.02153
24,1,4534.4424,0.01544
24,1,4539.3594,0.01177
24,1,4542.4536,0.01
24,2,4350.3154,0.01
24,2,4354.4097,0.01377
24,2,4359.4331,0.02084
24,2,4364.4429,0.03081
24,2,4369.4434,0.04725
24,2,4374.437,0.07159
24,2,4379.4277,0.10448
24,2,4384.4185,0.14868
24,2,4389.4131,0.20874
24,2,4394.4146,0.28943
24,2,4399.4268,0.40283
24,2,4404.4517,0.55151
24,2,4409.2822,0.70146
24,2,4414.3408,0.84143
24,2,4419.4185,0.94176
24,2,4424.3052,0.98003
24,2,4429.4253,0.98963
24,2,4434.3535,0.9925
24,2,4439.3018,0.98835
24,2,4444.27,0.99081
24,2,4449.2568,0.98307
24,2,4454.2612,0.98385
24,2,4459.2812,0.98994
24,2,4464.3145,0.99141
24,2,4469.3594,1.0
24,2,4474.4121,0.99246
24,2,4479.2505,0.95147
24,2,4484.3115,0.87342
24,2,4489.3721,0.74345
24,2,4494.4297,0.57419
24,2,4499.2607,0.40444
24,2,4504.3027,0.25562
24,2,4509.3325,0.14983
24,2,4514.3481,0.08563
24,2,4519.3472,0.05034
24,2,4524.3276,0.03192
24,2,4529.2886,0.02153
24,2,4534.4424,0.01544
24,2,4539.3594,0.01177
24,2,4542.4536,0.01
24,3,4348.9873,0.01
24,3,4352.2856,0.0124
24,3,4357.3247,0.01708
24,3,4362.3481,0.02359
24,3,4367.3579,0.03302
24,3,4372.3584,0.04822
24,3,4377.3521,0.0709
24,3,4382.3428,0.10637
24,3,4387.3335,0.16281
24,3,4392.3281,0.24727
24,3,4397.3296,0.36448
24,3,4402.3418,0.50934
24,3,4407.3667,0.65775
24,3,4412.1973,0.76684
24,3,4417.2559,0.83574
24,3,4422.3335,0.87709
24,3,4427.2202,0.90442
24,3,4432.3403,0.93634
24,3,4437.2686,0.96232
24,3,4442.2168,0.9752
24,3,4447.1851,0.98595
24,3,4452.1719,0.98645
24,3,4457.1763,0.99322
24,3,4462.1963,1.0
24,3,4467.2295,0.99532
24,3,4472.2744,0.98702
24,3,4477.3271,0.95318
24,3,4482.1655,0.88204
24,3,4487.2266,0.75945
24,3,4492.2871,0.58576
24,3,4497.3447,0.39886
24,3,4502.1758,0.25234
24,3,4507.2178,0.15475
24,3,4512.2476,0.09892
24,3,4517.2632,0.0659
24,3,4522.2622,0.04539
24,3,4527.2427,0.0323
