Band,Channel,Wavelength,RSR
8,1,400.7747,0.01
8,1,401.2197,0.01296
8,1,402.5226,0.08468
8,1,403.8194,0.28602
8,1,405.1355,0.51413
8,1,406.4409,0.57322
8,1,407.7348,0.59312
8,1,409.0171,0.68857
8,1,410.3431,0.75855
8,1,411.6331,0.58495
8,1,412.9173,0.43693
8,1,414.2257,0.74654
8,1,415.5353,1.0
8,1,416.8228,0.99192
8,1,418.1179,0.76928
8,1,419.4228,0.4319
8,1,420.739,0.14973
8,1,422.0388,0.03958
8,1,423.321,0.01131
8,1,423.548,0.01
8,2,400.633,0.01
8,2,401.4822,0.01755
8,2,402.7851,0.11097
8,2,404.0819,0.34822
8,2,405.398,0.56266
8,2,406.7034,0.59248
8,2,407.9973,0.61348
8,2,409.2796,0.70265
8,2,410.6056,0.73561
8,2,411.8956,0.53014
8,2,413.1798,0.46246
8,2,414.4882,0.77879
8,2,415.7978,1.0
8,2,417.0853,0.9748
8,2,418.3804,0.73228
8,2,419.6853,0.37986
8,2,421.0015,0.12336
8,2,422.3013,0.03298
8,2,423.579,0.01
8,3,400.6359,0.01
8,3,401.6844,0.02221
8,3,402.9873,0.13142
8,3,404.2841,0.38741
8,3,405.6002,0.5929
8,3,406.9056,0.61038
8,3,408.1995,0.63187
8,3,409.4818,0.71477
8,3,410.8078,0.72872
8,3,412.0978,0.51008
8,3,413.382,0.47342
8,3,414.6904,0.79324
8,3,416.0,1.0
8,3,417.2875,0.95542
8,3,418.5826,0.69245
8,3,419.8875,0.34075
8,3,421.2037,0.10658
8,3,422.5035,0.02855
8,3,423.7145,0.01
8,4,400.6961,0.01
8,4,401.8004,0.02515
8,4,403.1033,0.14697
8,4,404.4001,0.41072
8,4,405.7162,0.60515
8,4,407.0216,0.61573
8,4,408.3155,0.63823
8,4,409.5978,0.72289
8,4,410.9238,0.7309
8,4,412.2138,0.50378
8,4,413.498,0.48004
8,4,414.8064,0.80362
8,4,416.116,1.0
8,4,417.4035,0.94234
8,4,418.6986,0.66819
8,4,420.0035,0.31886
8,4,421.3197,0.09769
8,4,422.6195,0.02626
8,4,423.7797,0.01
8,5,400.6744,0.01
8,5,401.8655,0.02758
8,5,403.1684,0.15485
8,5,404.4652,0.42374
8,5,405.7813,0.61335
8,5,407.0867,0.61715
8,5,408.3806,0.64078
8,5,409.6629,0.72982
8,5,410.9889,0.74167
8,5,412.2789,0.51204
8,5,413.5631,0.47933
8,5,414.8715,0.80468
8,5,416.1811,1.0
8,5,417.4686,0.93635
8,5,418.7637,0.65581
8,5,420.0686,0.30804
8,5,421.3848,0.09357
8,5,422.6846,0.02537
8,5,423.8297,0.01
8,6,400.6615,0.01
8,6,401.8919,0.02792
8,6,403.1948,0.15794
8,6,404.4916,0.43089
8,6,405.8077,0.62055
8,6,407.1131,0.6175
8,6,408.407,0.636
8,6,409.6893,0.7346
8,6,411.0153,0.76199
8,6,412.3053,0.53469
8,6,413.5895,0.4753
8,6,414.8979,0.80035
8,6,416.2075,1.0
8,6,417.495,0.93578
8,6,418.7901,0.65423
8,6,420.095,0.30697
8,6,421.4112,0.09318
8,6,422.711,0.02527
8,6,423.848,0.01
8,7,400.6733,0.01
8,7,401.8818,0.02605
8,7,403.1847,0.15372
8,7,404.4815,0.42967
8,7,405.7976,0.63005
8,7,407.103,0.62601
8,7,408.3969,0.63151
8,7,409.6792,0.72905
8,7,411.0052,0.77629
8,7,412.2952,0.56475
8,7,413.5794,0.46999
8,7,414.8878,0.79237
8,7,416.1974,1.0
8,7,417.4849,0.93836
8,7,418.78,0.65838
8,7,420.0849,0.31269
8,7,421.4011,0.0959
8,7,422.7009,0.02594
8,7,423.8735,0.01
8,8,400.6238,0.01
8,8,401.8303,0.02336
8,8,403.1332,0.13949
8,8,404.43,0.41254
8,8,405.7461,0.63314
8,8,407.0515,0.64629
8,8,408.3454,0.63757
8,8,409.6277,0.72226
8,8,410.9537,0.77748
8,8,412.2437,0.59184
8,8,413.5279,0.45714
8,8,414.8363,0.77404
8,8,416.1459,1.0
8,8,417.4334,0.94674
8,8,418.7285,0.67348
8,8,420.0334,0.32935
8,8,421.3496,0.10371
8,8,422.6494,0.02781
8,8,423.8596,0.01
8,9,400.4936,0.01
8,9,401.7069,0.02035
8,9,403.0099,0.12667
8,9,404.3066,0.38426
8,9,405.6227,0.60505
8,9,406.9282,0.63716
8,9,408.222,0.63755
8,9,409.5044,0.73086
8,9,410.8304,0.78699
8,9,412.1204,0.60352
8,9,413.4045,0.42407
8,9,414.713,0.75498
8,9,416.0226,1.0
8,9,417.3101,0.95618
8,9,418.6052,0.697
8,9,419.9101,0.35839
8,9,421.2263,0.11789
8,9,422.5261,0.03176
8,9,423.8007,0.01
8,10,400.4936,0.01
8,10,401.7069,0.02035
8,10,403.0099,0.12667
8,10,404.3066,0.38426
8,10,405.6227,0.60505
8,10,406.9282,0.63716
8,10,408.222,0.63755
8,10,409.5044,0.73086
8,10,410.8304,0.78699
8,10,412.1204,0.60352
8,10,413.4045,0.42407
8,10,414.713,0.75498
8,10,416.0226,1.0
8,10,417.3101,0.95618
8,10,418.6052,0.697
8,10,419.9101,0.35839
8,10,421.2263,0.11789
8,10,422.5261,0.03176
8,10,423.8007,0.01
