Band,Channel,Wavelength,RSR
34,1,13347.0381,0.01
34,1,13356.8105,0.0121
34,1,13376.8242,0.01888
34,1,13396.7031,0.03122
34,1,13416.8057,0.04595
34,1,13436.7119,0.07711
34,1,13456.8037,0.12958
34,1,13476.708,0.21708
34,1,13496.4639,0.35202
34,1,13516.498,0.53693
34,1,13536.4971,0.71977
34,1,13556.5273,0.84298
34,1,13576.6514,0.88008
34,1,13596.5352,0.86872
34,1,13616.5918,0.86336
34,1,13636.832,0.86859
34,1,13656.4609,0.88277
34,1,13676.624,0.90839
34,1,13696.4932,0.93036
34,1,13716.8096,0.95625
34,1,13736.7197,0.97078
34,1,13756.5664,0.9927
34,1,13776.6924,1.0
34,1,13796.6572,0.96778
34,1,13816.8184,0.86466
34,1,13836.7734,0.68694
34,1,13856.5342,0.48246
34,1,13876.5059,0.30405
34,1,13896.7295,0.17859
34,1,13916.5186,0.10311
34,1,13936.6895,0.06161
34,1,13956.5605,0.03728
34,1,13976.5596,0.02294
34,1,13996.7266,0.01469
34,1,14016.6943,0.01038
34,1,14017.8994,0.01
34,2,13347.0381,0.01
34,2,13356.8105,0.0121
34,2,13376.8242,0.01888
34,2,13396.7031,0.03122
34,2,13416.8057,0.04595
34,2,13436.7119,0.07711
34,2,13456.8037,0.12958
34,2,13476.708,0.21708
34,2,13496.4639,0.35202
34,2,13516.498,0.53693
34,2,13536.4971,0.71977
34,2,13556.5273,0.84298
34,2,13576.6514,0.88008
34,2,13596.5352,0.86872
34,2,13616.5918,0.86336
34,2,13636.832,0.86859
34,2,13656.4609,0.88277
34,2,13676.624,0.90839
34,2,13696.4932,0.93036
34,2,13716.8096,0.95625
34,2,13736.7197,0.97078
34,2,13756.5664,0.9927
34,2,13776.6924,1.0
34,2,13796.6572,0.96778
34,2,13816.8184,0.86466
34,2,13836.7734,0.68694
34,2,13856.5342,0.48246
34,2,13876.5059,0.30405
34,2,13896.7295,0.17859
34,2,13916.5186,0.10311
34,2,13936.6895,0.06161
34,2,13956.5605,0.03728
34,2,13976.5596,0.02294
34,2,13996.7266,0.01469
34,2,14016.6943,0.01038
34,2,14017.8994,0.01
34,3,13349.6016,0.01
34,3,13364.0127,0.01357
34,3,13384.0264,0.02165
34,3,13403.9053,0.03193
34,3,13424.0078,0.053
34,3,13443.9141,0.08789
34,3,13464.0059,0.15065
34,3,13483.9102,0.25745
34,3,13503.666,0.41666
34,3,13523.7002,0.61563
34,3,13543.6992,0.78989
34,3,13563.7295,0.88882
34,3,13583.8535,0.90513
34,3,13603.7373,0.8841
34,3,13623.7939,0.88186
34,3,13644.0342,0.88921
34,3,13663.6631,0.90865
34,3,13683.8262,0.9304
34,3,13703.6953,0.95011
34,3,13724.0117,0.96883
34,3,13743.9219,0.98248
34,3,13763.7686,1.0
34,3,13783.8945,0.9987
34,3,13803.8594,0.94412
34,3,13824.0205,0.81309
34,3,13843.9756,0.62054
34,3,13863.7363,0.4201
34,3,13883.708,0.25739
34,3,13903.9316,0.14812
34,3,13923.7207,0.087
34,3,13943.8916,0.05097
34,3,13963.7627,0.03116
34,3,13983.7617,0.01942
34,3,14003.9287,0.01211
34,3,14013.209,0.01
34,4,13349.1924,0.01
34,4,13367.7441,0.01335
34,4,13387.7578,0.02135
34,4,13407.6367,0.03426
34,4,13427.7393,0.05634
34,4,13447.6455,0.09586
34,4,13467.7373,0.16556
34,4,13487.6416,0.28455
34,4,13507.3975,0.45486
34,4,13527.4316,0.65561
34,4,13547.4307,0.82224
34,4,13567.4609,0.90872
34,4,13587.585,0.91468
34,4,13607.4688,0.8921
34,4,13627.5254,0.88921
34,4,13647.7656,0.89901
34,4,13667.3945,0.91909
34,4,13687.5576,0.93818
34,4,13707.4268,0.9551
34,4,13727.7432,0.97201
34,4,13747.6533,0.98386
34,4,13767.5,1.0
34,4,13787.626,0.99615
34,4,13807.5908,0.93204
