Band,Channel,Wavelength,RSR
32,1,11637.6074,0.01
32,1,11638.8613,0.01024
32,1,11663.9023,0.01333
32,1,11688.7627,0.03076
32,1,11713.7871,0.06559
32,1,11738.8867,0.13612
32,1,11763.5439,0.28799
32,1,11788.9111,0.52563
32,1,11813.6523,0.76968
32,1,11838.5361,0.94291
32,1,11863.5254,0.99788
32,1,11888.6299,1.0
32,1,11913.8994,0.98798
32,1,11938.6445,0.9726
32,1,11963.7695,0.96313
32,1,11988.6045,0.94516
32,1,12013.6387,0.94421
32,1,12038.5322,0.93702
32,1,12063.6992,0.93671
32,1,12088.7051,0.9455
32,1,12113.8936,0.9445
32,1,12138.7627,0.93117
32,1,12163.625,0.9246
32,1,12188.791,0.91457
32,1,12213.7549,0.87864
32,1,12238.8574,0.83067
32,1,12263.6611,0.76505
32,1,12288.5703,0.6537
32,1,12313.6338,0.47051
32,1,12338.5518,0.26919
32,1,12363.8311,0.12637
32,1,12388.8154,0.04745
32,1,12413.6006,0.01685
32,1,12438.6416,0.01033
32,1,12439.6943,0.01
32,2,11637.6074,0.01
32,2,11638.8613,0.01024
32,2,11663.9023,0.01333
32,2,11688.7627,0.03076
32,2,11713.7871,0.06559
32,2,11738.8867,0.13612
32,2,11763.5439,0.28799
32,2,11788.9111,0.52563
32,2,11813.6523,0.76968
32,2,11838.5361,0.94291
32,2,11863.5254,0.99788
32,2,11888.6299,1.0
32,2,11913.8994,0.98798
32,2,11938.6445,0.9726
32,2,11963.7695,0.96313
32,2,11988.6045,0.94516
32,2,12013.6387,0.94421
32,2,12038.5322,0.93702
32,2,12063.6992,0.93671
32,2,12088.7051,0.9455
32,2,12113.8936,0.9445
32,2,12138.7627,0.93117
32,2,12163.625,0.9246
32,2,12188.791,0.91457
32,2,12213.7549,0.87864
32,2,12238.8574,0.83067
32,2,12263.6611,0.76505
32,2,12288.5703,0.6537
32,2,12313.6338,0.47051
32,2,12338.5518,0.26919
32,2,12363.8311,0.12637
32,2,12388.8154,0.04745
32,2,12413.6006,0.01685
32,2,12438.6416,0.01033
32,2,12439.6943,0.01
32,3,11646.0693,0.01
32,3,11668.3535,0.0197
32,3,11693.2139,0.03285
32,3,11718.2383,0.07081
32,3,11743.3379,0.16398
32,3,11767.9951,0.3335
32,3,11793.3623,0.57687
32,3,11818.1035,0.80914
32,3,11842.9873,0.95817
32,3,11867.9766,1.0
32,3,11893.0811,0.99748
32,3,11918.3506,0.99364
32,3,11943.0957,0.98072
32,3,11968.2207,0.96964
32,3,11993.0557,0.94916
32,3,12018.0898,0.94929
32,3,12042.9834,0.94552
32,3,12068.1504,0.94455
32,3,12093.1562,0.95067
32,3,12118.3447,0.94509
32,3,12143.2139,0.93769
32,3,12168.0762,0.93054
32,3,12193.2422,0.9211
32,3,12218.2061,0.88104
32,3,12243.3086,0.82522
32,3,12268.1123,0.7475
32,3,12293.0215,0.60896
32,3,12318.085,0.4261
32,3,12343.0029,0.23267
32,3,12368.2822,0.10194
32,3,12393.2666,0.04209
32,3,12418.0518,0.02045
32,3,12440.1719,0.01
32,4,11649.7402,0.01
32,4,11670.9443,0.01619
32,4,11695.8047,0.03335
32,4,11720.8291,0.07916
32,4,11745.9287,0.18412
32,4,11770.5859,0.35597
32,4,11795.9531,0.60258
32,4,11820.6943,0.82281
32,4,11845.5781,0.9597
32,4,11870.5674,0.99705
32,4,11895.6719,1.0
32,4,11920.9414,0.99654
32,4,11945.6865,0.9875
32,4,11970.8115,0.96967
32,4,11995.6465,0.94639
32,4,12020.6807,0.94568
32,4,12045.5742,0.94615
32,4,12070.7412,0.94346
32,4,12095.7471,0.95342
32,4,12120.9355,0.94369
32,4,12145.8047,0.93692
32,4,12170.667,0.92884
32,4,12195.833,0.92885
32,4,12220.7969,0.88012
32,4,12245.8994,0.82496
32,4,12270.7031,0.74412
32,4,12295.6123,0.59302
32,4,12320.6758,0.40189
32,4,12345.5938,0.21771
32,4,12370.873,0.09608
32,4,12395.8574,0.03617
32,4,12420.6426,0.01174
32,4,12430.2822,0.01
32,5,11647.1973,0.01
32,5,11647.6797,0.0101
32,5,11672.7207,0.01786
