Band,Channel,Wavelength,RSR
2,1,820.0322,0.01
2,1,822.0051,0.01692
2,1,824.0037,0.03107
2,1,826.9963,0.07441
2,1,828.9936,0.115
2,1,831.9895,0.19512
2,1,833.9851,0.25955
2,1,836.9896,0.39759
2,1,838.9948,0.52634
2,1,841.9997,0.70915
2,1,844.0025,0.82138
2,1,846.9965,0.9163
2,1,848.9913,0.94739
2,1,851.9867,0.98529
2,1,854.0024,0.9908
2,1,856.9861,1.0
2,1,858.9886,0.97942
2,1,861.9994,0.97466
2,1,863.9938,0.94204
2,1,867.0015,0.89802
2,1,868.9833,0.84825
2,1,871.9843,0.78591
2,1,873.9937,0.70113
2,1,877.0067,0.43634
2,1,878.9906,0.24993
2,1,881.9873,0.10807
2,1,884.0002,0.06845
2,1,886.9988,0.04148
2,1,888.9841,0.03264
2,1,891.9924,0.02387
2,1,893.9979,0.01956
2,1,896.9948,0.01413
2,1,898.9871,0.01038
2,2,820.0322,0.01
2,2,822.0051,0.01692
2,2,824.0037,0.03107
2,2,826.9963,0.07441
2,2,828.9936,0.115
2,2,831.9895,0.19512
2,2,833.9851,0.25955
2,2,836.9896,0.39759
2,2,838.9948,0.52634
2,2,841.9997,0.70915
2,2,844.0025,0.82138
2,2,846.9965,0.9163
2,2,848.9913,0.94739
2,2,851.9867,0.98529
2,2,854.0024,0.9908
2,2,856.9861,1.0
2,2,858.9886,0.97942
2,2,861.9994,0.97466
2,2,863.9938,0.94204
2,2,867.0015,0.89802
2,2,868.9833,0.84825
2,2,871.9843,0.78591
2,2,873.9937,0.70113
2,2,877.0067,0.43634
2,2,878.9906,0.24993
2,2,881.9873,0.10807
2,2,884.0002,0.06845
2,2,886.9988,0.04148
2,2,888.9841,0.03264
2,2,891.9924,0.02387
2,2,893.9979,0.01956
2,2,896.9948,0.01413
2,2,898.9871,0.01038
2,3,820.0322,0.01
2,3,822.0051,0.01692
2,3,824.0037,0.03107
2,3,826.9963,0.07441
2,3,828.9936,0.115
2,3,831.9895,0.19512
2,3,833.9851,0.25955
2,3,836.9896,0.39759
2,3,838.9948,0.52634
2,3,841.9997,0.70915
2,3,844.0025,0.82138
2,3,846.9965,0.9163
2,3,848.9913,0.94739
2,3,851.9867,0.98529
2,3,854.0024,0.9908
2,3,856.9861,1.0
2,3,858.9886,0.97942
2,3,861.9994,0.97466
2,3,863.9938,0.94204
2,3,867.0015,0.89802
2,3,868.9833,0.84825
2,3,871.9843,0.78591
2,3,873.9937,0.70113
2,3,877.0067,0.43634
2,3,878.9906,0.24993
2,3,881.9873,0.10807
2,3,884.0002,0.06845
2,3,886.9988,0.04148
2,3,888.9841,0.03264
2,3,891.9924,0.02387
2,3,893.9979,0.01956
2,3,896.9948,0.01413
2,3,898.9871,0.01038
2,4,819.7227,0.01
2,4,822.2255,0.01952
2,4,824.2241,0.03571
2,4,827.2167,0.07944
2,4,829.214,0.12045
2,4,832.2099,0.20061
2,4,834.2055,0.26664
2,4,837.21,0.42149
2,4,839.2152,0.56906
2,4,842.2201,0.77752
2,4,844.2229,0.89611
2,4,847.2169,0.96748
2,4,849.2117,0.98168
2,4,852.2071,0.99295
2,4,854.2228,0.99041
2,4,857.2065,0.99818
2,4,859.209,0.98668
2,4,862.2198,1.0
2,4,864.2142,0.98347
2,4,867.2219,0.94826
2,4,869.2037,0.90021
2,4,872.2047,0.81638
2,4,874.2141,0.71109
2,4,877.2271,0.4217
2,4,879.211,0.23928
2,4,882.2077,0.10472
2,4,884.2206,0.06712
2,4,887.2192,0.04178
2,4,889.2045,0.03317
2,4,892.2128,0.02483
2,4,894.2183,0.02067
2,4,897.2152,0.01454
2,4,899.2075,0.01034
2,5,819.7745,0.01
2,5,822.3942,0.02027
2,5,824.3928,0.03737
2,5,827.3854,0.08085
2,5,829.3827,0.12131
2,5,832.3786,0.19921
2,5,834.3742,0.26512
2,5,837.3787,0.4276
2,5,839.3839,0.5829
2,5,842.3888,0.80147
2,5,844.3916,0.92359
2,5,847.3856,0.97211
2,5,849.3804,0.9803
2,5,852.3758,0.98399
2,5,854.3915,0.9805
2,5,857.3752,0.98463
2,5,859.3777,0.97442
2,5,862.3885,1.0
2,5,864.3829,0.98766
2,5,867.3906,0.95169
2,5,869.3724,0.91064
2,5,872.3734,0.81303
2,5,874.3828,0.69178
2,5,877.3958,0.39408
2,5,879.3797,0.22345
2,5,882.3764,0.09851
2,5,884.3893,0.06369
2,5,887.3879,0.03999
2,5,889.3732,0.03221
2,5,892.3815,0.02441
2,5,894.387,0.02
2,5,897.3839,0.01375
2,5,899.1885,0.01
2,6,819.9131,0.01
2,6,822.6618,0.02159
2,6,824.6604,0.03979
2,6,827.653,0.08439
2,6,829.6503,0.12452
2,6,832.6462,0.20018
2,6,834.6418,0.26921
2,6,837.6463,0.44419
2,6,839.6515,0.61048
2,6,842.6564,0.83419
2,6,844.6592,0.942
2,6,847.6532,0.98075
2,6,849.6479,0.98161
2,6,852.6434,0.97668
2,6,854.6591,0.97569
2,6,857.6428,0.98131
2,6,859.6453,0.97373
2,6,862.6561,1.0
2,6,864.6505,0.98566
2,6,867.6582,0.95517
