Band,Channel,Wavelength,RSR
23,1,3970.803,0.01
23,1,3971.4856,0.01047
23,1,3976.5769,0.01601
23,1,3981.4722,0.02377
23,1,3986.5989,0.03536
23,1,3991.5312,0.05288
23,1,3996.4839,0.07813
23,1,4001.457,0.11858
23,1,4006.4512,0.18052
23,1,4011.4658,0.27474
23,1,4016.5002,0.41168
23,1,4021.5535,0.58306
23,1,4026.624,0.75628
23,1,4031.4883,0.88875
23,1,4036.5864,0.96641
23,1,4041.4729,0.99504
23,1,4046.5891,0.99834
23,1,4051.488,0.99459
23,1,4056.6113,0.98008
23,1,4061.511,0.97194
23,1,4066.6296,0.9808
23,1,4071.519,0.98692
23,1,4076.6213,0.99411
23,1,4081.4902,1.0
23,1,4086.5659,0.99572
23,1,4091.6245,0.96301
23,1,4096.4453,0.86156
23,1,4101.4658,0.68464
23,1,4106.4648,0.45461
23,1,4111.4424,0.26786
23,1,4116.6123,0.14594
23,1,4121.5449,0.08513
23,1,4126.4561,0.05358
23,1,4131.5596,0.03456
23,1,4136.4316,0.02357
23,1,4141.498,0.01515
23,1,4146.5488,0.01004
23,1,4146.6006,0.01
23,2,3970.803,0.01
23,2,3971.4856,0.01047
23,2,3976.5769,0.01601
23,2,3981.4722,0.02377
23,2,3986.5989,0.03536
23,2,3991.5312,0.05288
23,2,3996.4839,0.07813
23,2,4001.457,0.11858
23,2,4006.4512,0.18052
23,2,4011.4658,0.27474
23,2,4016.5002,0.41168
23,2,4021.5535,0.58306
23,2,4026.624,0.75628
23,2,4031.4883,0.88875
23,2,4036.5864,0.96641
23,2,4041.4729,0.99504
23,2,4046.5891,0.99834
23,2,4051.488,0.99459
23,2,4056.6113,0.98008
23,2,4061.511,0.97194
23,2,4066.6296,0.9808
23,2,4071.519,0.98692
23,2,4076.6213,0.99411
23,2,4081.4902,1.0
23,2,4086.5659,0.99572
23,2,4091.6245,0.96301
23,2,4096.4453,0.86156
23,2,4101.4658,0.68464
23,2,4106.4648,0.45461
23,2,4111.4424,0.26786
23,2,4116.6123,0.14594
23,2,4121.5449,0.08513
23,2,4126.4561,0.05358
23,2,4131.5596,0.03456
23,2,4136.4316,0.02357
23,2,4141.498,0.01515
23,2,4146.5488,0.01004
23,2,4146.6006,0.01
23,3,3971.9856,0.01
23,3,3973.9089,0.01134
23,3,3979.0002,0.0167
23,3,3983.8955,0.02471
23,3,3989.0222,0.03833
23,3,3993.9546,0.06087
23,3,3998.9072,0.09752
23,3,4003.8804,0.15558
23,3,4008.8745,0.2424
23,3,4013.8892,0.36108
23,3,4018.9236,0.50541
23,3,4023.9768,0.65132
23,3,4029.0474,0.77395
23,3,4033.9116,0.86183
23,3,4039.0098,0.92584
23,3,4043.8962,0.96964
23,3,4049.0125,0.99399
23,3,4053.9114,1.0
23,3,4059.0347,0.98511
23,3,4063.9343,0.96374
23,3,4069.053,0.94872
23,3,4073.9424,0.93769
23,3,4079.0447,0.94094
23,3,4083.9136,0.95187
23,3,4088.9893,0.94914
23,3,4094.0479,0.88666
23,3,4098.8691,0.74125
23,3,4103.8896,0.54676
23,3,4108.8887,0.35964
23,3,4113.8662,0.22926
23,3,4119.0361,0.13957
23,3,4123.9688,0.08461
23,3,4128.8799,0.05006
23,3,4133.9834,0.0291
23,3,4138.8555,0.01741
23,3,4143.8008,0.01
23,4,3971.9338,0.01
23,4,3974.6948,0.01244
23,4,3979.7861,0.01954
23,4,3984.6814,0.02999
23,4,3989.8081,0.04663
23,4,3994.7405,0.07104
