Band,Channel,Wavelength,RSR
10,1,477.6239,0.01
10,1,477.8316,0.01141
10,1,478.4414,0.02439
10,1,479.0529,0.05053
10,1,479.638,0.09199
10,1,480.2521,0.15167
10,1,480.8391,0.22225
10,1,481.4545,0.31945
10,1,482.0423,0.43287
10,1,482.6579,0.58156
10,1,483.2452,0.70351
10,1,483.8318,0.78922
10,1,484.4452,0.84872
10,1,485.0574,0.8818
10,1,485.6401,0.89854
10,1,486.2488,0.92197
10,1,486.8554,0.94995
10,1,487.4323,0.96197
10,1,488.0343,0.98373
10,1,488.6339,0.98829
10,1,489.258,1.0
10,1,489.8523,0.98707
10,1,490.4442,0.95211
10,1,491.0337,0.89061
10,1,491.6476,0.80041
10,1,492.2327,0.66849
10,1,492.8424,0.49471
10,1,493.4504,0.29937
10,1,494.0571,0.14072
10,1,494.6363,0.05532
10,1,495.2413,0.02087
10,1,495.7527,0.01
10,2,477.9604,0.01
10,2,478.18,0.01246
10,2,478.7898,0.0247
10,2,479.4013,0.05257
10,2,479.9864,0.09898
10,2,480.6005,0.17131
10,2,481.1875,0.26745
10,2,481.8029,0.39782
10,2,482.3907,0.54387
10,2,483.0063,0.69847
10,2,483.5936,0.81208
10,2,484.1802,0.87968
10,2,484.7936,0.91823
10,2,485.4058,0.93891
10,2,485.9885,0.9518
10,2,486.5972,0.96352
10,2,487.2038,0.97463
10,2,487.7807,0.98133
10,2,488.3827,0.99439
10,2,488.9823,0.99873
10,2,489.6064,1.0
10,2,490.2007,0.98181
10,2,490.7926,0.93657
10,2,491.3821,0.85598
10,2,491.996,0.72826
10,2,492.5811,0.56749
10,2,493.1908,0.38152
10,2,493.7988,0.20729
10,2,494.4055,0.0891
10,2,494.9847,0.03483
10,2,495.5897,0.01312
10,2,495.8211,0.01
10,3,478.0351,0.01
10,3,478.4104,0.01478
10,3,479.0202,0.03005
10,3,479.6317,0.06238
10,3,480.2168,0.11626
10,3,480.8309,0.20087
10,3,481.4179,0.3148
10,3,482.0333,0.46195
10,3,482.6211,0.6159
10,3,483.2367,0.76412
10,3,483.824,0.86467
10,3,484.4106,0.91916
10,3,485.024,0.94612
10,3,485.6362,0.96054
10,3,486.2189,0.97025
10,3,486.8276,0.97687
10,3,487.4342,0.98152
10,3,488.0111,0.9869
10,3,488.6131,0.99584
10,3,489.2127,1.0
10,3,489.8368,0.99491
10,3,490.4311,0.96959
10,3,491.023,0.91399
10,3,491.6125,0.81817
10,3,492.2264,0.67465
10,3,492.8115,0.50488
10,3,493.4212,0.32052
10,3,494.0292,0.16357
10,3,494.6359,0.06648
10,3,495.2151,0.02591
10,3,495.8201,0.01038
10,3,495.857,0.01
10,4,478.053,0.01
10,4,478.5293,0.01609
10,4,479.1391,0.03466
10,4,479.7506,0.07113
10,4,480.3357,0.12987
10,4,480.9498,0.22136
10,4,481.5368,0.34235
10,4,482.1522,0.49462
10,4,482.74,0.64943
10,4,483.3556,0.79166
10,4,483.9429,0.88324
10,4,484.5295,0.93076
10,4,485.1429,0.95459
10,4,485.7551,0.9678
10,4,486.3378,0.97546
10,4,486.9465,0.9813
10,4,487.5531,0.98454
10,4,488.13,0.98931
10,4,488.732,0.99736
10,4,489.3316,1.0
10,4,489.9557,0.991
10,4,490.55,0.96062
10,4,491.1419,0.89816
10,4,491.7314,0.79464
10,4,492.3453,0.645
10,4,492.9304,0.47211
10,4,493.5401,0.28987
10,4,494.1481,0.14117
10,4,494.7548,0.05618
10,4,495.334,0.02209
10,4,495.8802,0.01
10,5,478.1066,0.01
10,5,478.6021,0.01737
10,5,479.2119,0.03746
10,5,479.8235,0.07706
10,5,480.4085,0.13885
10,5,481.0226,0.23534
10,5,481.6096,0.35954
10,5,482.225,0.51385
10,5,482.8128,0.66913
10,5,483.4284,0.80912
10,5,484.0157,0.89654
10,5,484.6024,0.94022
10,5,485.2158,0.96218
10,5,485.8279,0.9743
10,5,486.4106,0.98108
10,5,487.0193,0.98513
10,5,487.6259,0.98726
10,5,488.2029,0.99097
10,5,488.8048,0.99755
10,5,489.4044,1.0
10,5,490.0286,0.98878
10,5,490.6229,0.95474
10,5,491.2148,0.88783
10,5,491.8043,0.77977
10,5,492.4182,0.6251
10,5,493.0033,0.45206
10,5,493.6129,0.27205
10,5,494.2209,0.1294
10,5,494.8276,0.05044
10,5,495.4069,0.01996
10,5,495.8967,0.01
10,6,478.0717,0.01
10,6,478.6363,0.01829
10,6,479.2461,0.03972
10,6,479.8576,0.08082
10,6,480.4427,0.14501
10,6,481.0568,0.24254
10,6,481.6438,0.36811
10,6,482.2592,0.5235
10,6,482.847,0.67865
10,6,483.4626,0.81875
10,6,484.0499,0.90492
10,6,484.6365,0.9475
10,6,485.2499,0.96785
10,6,485.8621,0.97906
10,6,486.4448,0.98502
10,6,487.0535,0.98856
10,6,487.6601,0.98974
10,6,488.237,0.9924
10,6,488.839,0.99866
10,6,489.4386,1.0
10,6,490.0627,0.98683
10,6,490.657,0.95094
10,6,491.2489,0.88217
10,6,491.8384,0.7735
10,6,492.4523,0.619
10,6,493.0374,0.4462
10,6,493.6471,0.26703
10,6,494.2551,0.1266
10,6,494.8618,0.0491
10,6,495.441,0.01914
10,6,495.924,0.01
10,7,478.1226,0.01
10,7,478.618,0.0177
10,7,479.2278,0.03949
10,7,479.8393,0.08083
10,7,480.4243,0.14437
10,7,481.0385,0.24102
10,7,481.6255,0.36428
10,7,482.2408,0.51904
10,7,482.8286,0.6738
10,7,483.4442,0.81699
10,7,484.0316,0.90615
10,7,484.6182,0.94988
10,7,485.2316,0.97115
10,7,485.8437,0.98235
10,7,486.4265,0.98834
10,7,487.0352,0.99117
10,7,487.6418,0.99231
10,7,488.2187,0.99325
10,7,488.8206,0.99885
10,7,489.4203,1.0
10,7,490.0444,0.98706
10,7,490.6387,0.95146
10,7,491.2306,0.88393
10,7,491.8201,0.77788
10,7,492.434,0.62606
10,7,493.0191,0.455
10,7,493.6288,0.2758
10,7,494.2368,0.13222
10,7,494.8434,0.05193
10,7,495.4227,0.02
10,7,495.9169,0.01
10,8,478.048,0.01
10,8,478.5641,0.01764
10,8,479.1739,0.03843
10,8,479.7854,0.07852
10,8,480.3705,0.14034
10,8,480.9846,0.2341
10,8,481.5716,0.35395
10,8,482.187,0.50479
10,8,482.7748,0.66038
10,8,483.3904,0.80562
10,8,483.9777,0.90063
10,8,484.5643,0.94848
10,8,485.1777,0.97083
10,8,485.7899,0.98244
10,8,486.3726,0.98892
10,8,486.9813,0.99236
10,8,487.5879,0.99422
10,8,488.1648,0.99368
10,8,488.7668,0.99857
10,8,489.3664,1.0
10,8,489.9905,0.98781
10,8,490.5848,0.95353
10,8,491.1767,0.88984
10,8,491.7662,0.78861
10,8,492.3801,0.64307
10,8,492.9652,0.4754
10,8,493.5749,0.29575
10,8,494.1829,0.14612
10,8,494.7896,0.0587
10,8,495.3688,0.02294
10,8,495.928,0.01
10,9,478.048,0.01
10,9,478.5641,0.01764
10,9,479.1739,0.03843
10,9,479.7854,0.07852
10,9,480.3705,0.14034
10,9,480.9846,0.2341
10,9,481.5716,0.35395
10,9,482.187,0.50479
10,9,482.7748,0.66038
10,9,483.3904,0.80562
10,9,483.9777,0.90063
10,9,484.5643,0.94848
10,9,485.1777,0.97083
10,9,485.7899,0.98244
10,9,486.3726,0.98892
10,9,486.9813,0.99236
10,9,487.5879,0.99422
10,9,488.1648,0.99368
10,9,488.7668,0.99857
10,9,489.3664,1.0
10,9,489.9905,0.98781
10,9,490.5848,0.95353
10,9,491.1767,0.88984
10,9,491.7662,0.78861
10,9,492.3801,0.64307
10,9,492.9652,0.4754
10,9,493.5749,0.29575
10,9,494.1829,0.14612
10,9,494.7896,0.0587
10,9,495.3688,0.02294
10,9,495.928,0.01
10,10,478.048,0.01
10,10,478.5641,0.01764
10,10,479.1739,0.03843
10,10,479.7854,0.07852
10,10,480.3705,0.14034
10,10,480.9846,0.2341
10,10,481.5716,0.35395
10,10,482.187,0.50479
10,10,482.7748,0.66038
10,10,483.3904,0.80562
10,10,483.9777,0.90063
