Band,Channel,Wavelength,RSR
36,1,13894.0557,0.01
36,1,13897.4512,0.01067
36,1,13917.2402,0.01657
36,1,13937.4111,0.02768
36,1,13957.2822,0.04283
36,1,13977.2812,0.07128
36,1,13997.4482,0.12258
36,1,14017.416,0.20197
36,1,14037.1738,0.32636
36,1,14057.4746,0.50318
36,1,14077.499,0.7023
36,1,14097.1924,0.86754
36,1,14117.2861,0.96894
36,1,14137.3281,1.0
36,1,14157.2617,0.99936
36,1,14177.4297,0.97585
36,1,14197.4082,0.94661
36,1,14217.1826,0.91698
36,1,14237.5078,0.88385
36,1,14257.2803,0.84887
36,1,14277.2939,0.82704
36,1,14297.2363,0.8208
36,1,14317.5469,0.81409
36,1,14337.1846,0.79086
36,1,14357.3174,0.71651
36,1,14377.2412,0.57146
36,1,14397.3486,0.39592
36,1,14417.2549,0.24117
36,1,14437.3184,0.13202
36,1,14457.499,0.06968
36,1,14477.3584,0.03636
36,1,14497.2246,0.0193
36,1,14512.9326,0.01
36,2,13894.0557,0.01
36,2,13897.4512,0.01067
36,2,13917.2402,0.01657
36,2,13937.4111,0.02768
36,2,13957.2822,0.04283
36,2,13977.2812,0.07128
36,2,13997.4482,0.12258
36,2,14017.416,0.20197
36,2,14037.1738,0.32636
36,2,14057.4746,0.50318
36,2,14077.499,0.7023
36,2,14097.1924,0.86754
36,2,14117.2861,0.96894
36,2,14137.3281,1.0
36,2,14157.2617,0.99936
36,2,14177.4297,0.97585
36,2,14197.4082,0.94661
36,2,14217.1826,0.91698
36,2,14237.5078,0.88385
36,2,14257.2803,0.84887
36,2,14277.2939,0.82704
36,2,14297.2363,0.8208
36,2,14317.5469,0.81409
36,2,14337.1846,0.79086
36,2,14357.3174,0.71651
36,2,14377.2412,0.57146
36,2,14397.3486,0.39592
36,2,14417.2549,0.24117
36,2,14437.3184,0.13202
36,2,14457.499,0.06968
36,2,14477.3584,0.03636
36,2,14497.2246,0.0193
36,2,14512.9326,0.01
36,3,13895.1621,0.01
36,3,13903.5518,0.01151
36,3,13923.3408,0.01923
36,3,13943.5117,0.03151
36,3,13963.3828,0.05132
36,3,13983.3818,0.08491
36,3,14003.5488,0.14542
36,3,14023.5166,0.24058
36,3,14043.2744,0.38117
36,3,14063.5752,0.56674
36,3,14083.5996,0.75874
36,3,14103.293,0.9059
36,3,14123.3867,0.98421
36,3,14143.4287,1.0
36,3,14163.3623,0.99116
36,3,14183.5303,0.96758
36,3,14203.5088,0.93657
36,3,14223.2832,0.9031
36,3,14243.6084,0.87159
36,3,14263.3809,0.83854
36,3,14283.3945,0.82392
36,3,14303.3369,0.82183
36,3,14323.6475,0.82339
36,3,14343.2852,0.78506
36,3,14363.418,0.68184
36,3,14383.3418,0.52091
36,3,14403.4492,0.34437
36,3,14423.3555,0.20176
36,3,14443.4189,0.10977
36,3,14463.5996,0.05734
36,3,14483.459,0.03044
36,3,14503.3252,0.01702
36,3,14520.9854,0.01
36,4,13889.7383,0.01
36,4,13907.9033,0.01397
36,4,13927.6924,0.02163
36,4,13947.8633,0.03571
36,4,13967.7344,0.05818
36,4,13987.7334,0.09875
36,4,14007.9004,0.16536
36,4,14027.8682,0.27066
36,4,14047.626,0.42321
36,4,14067.9268,0.61076
36,4,14087.9512,0.79407
36,4,14107.6445,0.92556
36,4,14127.7383,0.9897
36,4,14147.7803,1.0
36,4,14167.7139,0.98841
36,4,14187.8818,0.96357
36,4,14207.8604,0.93111
36,4,14227.6348,0.89926
36,4,14247.96,0.86416
36,4,14267.7324,0.83315
36,4,14287.7461,0.82089
36,4,14307.6885,0.81904
36,4,14327.999,0.81652
36,4,14347.6367,0.76994
36,4,14367.7695,0.65192
36,4,14387.6934,0.48387
36,4,14407.8008,0.31058
36,4,14427.707,0.17789
36,4,14447.7705,0.09447
36,4,14467.9512,0.04918
36,4,14487.8105,0.02617
36,4,14507.6768,0.01546
36,4,14526.8926,0.01
36,5,13895.7617,0.01
36,5,13910.7959,0.01449
36,5,13930.585,0.02233
36,5,13950.7559,0.03748
36,5,13970.627,0.06229
36,5,13990.626,0.10629
36,5,14010.793,0.1805
36,5,14030.7607,0.29439
36,5,14050.5186,0.45137
36,5,14070.8193,0.63895
36,5,14090.8438,0.81467
36,5,14110.5371,0.93618
36,5,14130.6309,0.99353
36,5,14150.6729,1.0
36,5,14170.6064,0.9891
36,5,14190.7744,0.96285
36,5,14210.7529,0.93188
36,5,14230.5273,0.89983
36,5,14250.8525,0.86206
36,5,14270.625,0.83347
36,5,14290.6387,0.82091
36,5,14310.5811,0.81869
36,5,14330.8916,0.81168
36,5,14350.5293,0.75802
36,5,14370.6621,0.63183
36,5,14390.5859,0.46239
36,5,14410.6934,0.29406
36,5,14430.5996,0.16342
36,5,14450.6631,0.08602
36,5,14470.8438,0.04622
36,5,14490.7031,0.02516
36,5,14510.5693,0.01292
36,5,14520.5332,0.01
36,6,13912.6865,0.01
36,6,13932.3789,0.01816
36,6,13952.5498,0.0227
36,6,13972.4209,0.05234
36,6,13992.4199,0.09566
36,6,14012.5869,0.17655
36,6,14032.5547,0.29595
36,6,14052.3125,0.46415
36,6,14072.6133,0.65416
36,6,14092.6377,0.82395
36,6,14112.3311,0.94101
36,6,14132.4248,0.99565
36,6,14152.4668,1.0
36,6,14172.4004,0.97511
36,6,14192.5684,0.9474
