Band,Channel,Wavelength,RSR
13,1,656.2779,0.01
13,1,656.5093,0.01206
13,1,657.4969,0.04245
13,1,658.4883,0.11776
13,1,659.5104,0.25797
13,1,660.4875,0.40897
13,1,661.4969,0.60798
13,1,662.4873,0.79682
13,1,663.5106,0.94452
13,1,664.4873,1.0
13,1,665.4954,0.99826
13,1,666.5073,0.96498
13,1,667.4949,0.871
13,1,668.51,0.82298
13,1,669.4976,0.76457
13,1,670.5095,0.61453
13,1,671.4909,0.43691
13,1,672.4937,0.31026
13,1,673.4902,0.15876
13,1,674.5057,0.0251
13,1,675.1608,0.01
13,2,656.4175,0.01
13,2,656.85,0.01468
13,2,657.8376,0.05292
13,2,658.829,0.14563
13,2,659.8511,0.30632
13,2,660.8282,0.47919
13,2,661.8376,0.68242
13,2,662.828,0.85329
13,2,663.8513,0.96096
13,2,664.828,0.99909
13,2,665.8361,1.0
13,2,666.848,0.95736
13,2,667.8356,0.87883
13,2,668.8507,0.81408
13,2,669.8383,0.72098
13,2,670.8502,0.53844
13,2,671.8316,0.36434
13,2,672.8344,0.2388
13,2,673.8309,0.10698
13,2,674.8464,0.01417
13,2,675.1727,0.01
13,3,656.4401,0.01
13,3,657.0256,0.01772
13,3,658.0132,0.06182
13,3,659.0046,0.16477
13,3,660.0267,0.33408
13,3,661.0038,0.51335
13,3,662.0132,0.71639
13,3,663.0036,0.87769
13,3,664.0269,0.97022
13,3,665.0036,1.0
13,3,666.0117,0.99614
13,3,667.0236,0.94423
13,3,668.0112,0.86433
13,3,669.0263,0.79682
13,3,670.0139,0.69058
13,3,671.0258,0.4998
13,3,672.0072,0.3347
13,3,673.01,0.21577
13,3,674.0065,0.08718
13,3,675.022,0.01012
13,3,675.0353,0.01
13,4,656.4189,0.01
13,4,657.1503,0.02122
13,4,658.1379,0.0708
13,4,659.1293,0.18131
13,4,660.1514,0.35523
13,4,661.1285,0.538
13,4,662.1379,0.73867
13,4,663.1282,0.89189
13,4,664.1516,0.97561
13,4,665.1282,1.0
13,4,666.1364,0.99082
13,4,667.1483,0.93122
13,4,668.1359,0.85108
13,4,669.1509,0.78211
13,4,670.1385,0.669
13,4,671.1504,0.4764
13,4,672.1318,0.31897
13,4,673.1346,0.20297
13,4,674.1312,0.07559
13,4,675.1189,0.01
13,5,656.4557,0.01
13,5,657.213,0.0226
13,5,658.2006,0.07511
13,5,659.192,0.1891
13,5,660.2141,0.36434
13,5,661.1912,0.54908
13,5,662.2006,0.74858
13,5,663.191,0.89809
13,5,664.2143,0.97793
13,5,665.191,1.0
13,5,666.1991,0.98649
13,5,667.211,0.92227
13,5,668.1986,0.84114
13,5,669.2137,0.76996
13,5,670.2013,0.65342
13,5,671.2131,0.46043
13,5,672.1946,0.30701
13,5,673.1974,0.19475
13,5,674.1939,0.06986
13,5,675.1678,0.01
13,6,656.4588,0.01
13,6,657.2333,0.02363
13,6,658.2209,0.07724
13,6,659.2123,0.19153
13,6,660.2344,0.36485
13,6,661.2115,0.5495
13,6,662.2209,0.74735
13,6,663.2113,0.89645
13,6,664.2346,0.97763
13,6,665.2113,1.0
13,6,666.2194,0.98391
13,6,667.2313,0.91697
13,6,668.2189,0.83538
13,6,669.234,0.76121
13,6,670.2216,0.6449
13,6,671.2335,0.45287
13,6,672.2149,0.30105
13,6,673.2177,0.1919
13,6,674.2142,0.06957
13,6,675.1877,0.01
13,7,656.421,0.01
13,7,657.2144,0.02434
13,7,658.202,0.07843
13,7,659.1934,0.19153
13,7,660.2155,0.36249
13,7,661.1926,0.54497
13,7,662.202,0.74046
13,7,663.1924,0.89017
13,7,664.2157,0.97529
13,7,665.1924,1.0
13,7,666.2005,0.9833
13,7,667.2124,0.91695
13,7,668.2,0.83406
13,7,669.2151,0.75834
13,7,670.2027,0.64683
13,7,671.2145,0.45859
13,7,672.196,0.30455
13,7,673.1988,0.19615
13,7,674.1953,0.07536
13,7,675.186,0.01
13,8,656.3682,0.01
13,8,657.139,0.02281
13,8,658.1266,0.07256
13,8,659.118,0.17768
13,8,660.1401,0.33949
13,8,661.1172,0.51688
13,8,662.1266,0.7123
13,8,663.1169,0.87059
13,8,664.1403,0.96808
13,8,665.1169,1.0
13,8,666.1251,0.98342
13,8,667.137,0.91674
13,8,668.1246,0.83481
13,8,669.1396,0.75595
13,8,670.1273,0.6477
13,8,671.1391,0.46388
13,8,672.1205,0.30637
13,8,673.1234,0.20045
13,8,674.1199,0.08577
13,8,675.1354,0.01039
13,8,675.1776,0.01
13,9,656.1808,0.01
13,9,657.0013,0.02448
13,9,657.989,0.07604
13,9,658.9803,0.18015
13,9,660.0024,0.33248
13,9,660.9796,0.49187
13,9,661.989,0.66878
13,9,662.9793,0.82432
13,9,664.0026,0.94197
13,9,664.9793,1.0
13,9,665.9874,0.9948
13,9,666.9993,0.92234
13,9,667.9869,0.83902
13,9,669.002,0.76755
13,9,669.9896,0.66654
13,9,671.0015,0.49347
13,9,671.9829,0.33386
13,9,672.9857,0.22705
13,9,673.9822,0.11312
13,9,674.9977,0.01684
13,9,675.4483,0.01
13,10,656.1808,0.01
13,10,657.0013,0.02448
13,10,657.989,0.07604
13,10,658.9803,0.18015
13,10,660.0024,0.33248
13,10,660.9796,0.49187
13,10,661.989,0.66878
13,10,662.9793,0.82432
13,10,664.0026,0.94197
13,10,664.9793,1.0
13,10,665.9874,0.9948
13,10,666.9993,0.92234
13,10,667.9869,0.83902
13,10,669.002,0.76755
13,10,669.9896,0.66654
13,10,671.0015,0.49347
13,10,671.9829,0.33386
13,10,672.9857,0.22705
13,10,673.9822,0.11312
13,10,674.9977,0.01684
13,10,675.4483,0.01
