Band,Channel,Wavelength,RSR
4,1,538.8214,0.01
4,1,539.7411,0.02297
4,1,540.7255,0.05619
4,1,541.7313,0.12651
4,1,542.7304,0.24326
4,1,543.7491,0.40981
4,1,544.7339,0.59926
4,1,545.7384,0.77595
4,1,546.7367,0.89898
4,1,547.7299,0.96551
4,1,548.7455,0.9855
4,1,549.733,0.99223
4,1,550.7463,1.0
4,1,551.735,0.99494
4,1,552.7269,0.98212
4,1,553.7495,0.97823
4,1,554.7253,0.96806
4,1,555.7338,0.95739
4,1,556.7492,0.95718
4,1,557.7446,0.95077
4,1,558.7462,0.93666
4,1,559.726,0.91483
4,1,560.7376,0.86969
4,1,561.725,0.78703
4,1,562.7418,0.67157
4,1,563.7314,0.52745
4,1,564.7473,0.35015
4,1,565.7331,0.19514
4,1,566.7422,0.08616
4,1,567.7462,0.03147
4,1,568.7438,0.01154
4,1,568.9575,0.01
4,2,538.8214,0.01
4,2,539.7411,0.02297
4,2,540.7255,0.05619
4,2,541.7313,0.12651
4,2,542.7304,0.24326
4,2,543.7491,0.40981
4,2,544.7339,0.59926
4,2,545.7384,0.77595
4,2,546.7367,0.89898
4,2,547.7299,0.96551
4,2,548.7455,0.9855
4,2,549.733,0.99223
4,2,550.7463,1.0
4,2,551.735,0.99494
4,2,552.7269,0.98212
4,2,553.7495,0.97823
4,2,554.7253,0.96806
4,2,555.7338,0.95739
4,2,556.7492,0.95718
4,2,557.7446,0.95077
4,2,558.7462,0.93666
4,2,559.726,0.91483
4,2,560.7376,0.86969
4,2,561.725,0.78703
4,2,562.7418,0.67157
4,2,563.7314,0.52745
4,2,564.7473,0.35015
4,2,565.7331,0.19514
4,2,566.7422,0.08616
4,2,567.7462,0.03147
4,2,568.7438,0.01154
4,2,568.9575,0.01
4,3,538.8214,0.01
4,3,539.7411,0.02297
4,3,540.7255,0.05619
4,3,541.7313,0.12651
4,3,542.7304,0.24326
4,3,543.7491,0.40981
4,3,544.7339,0.59926
4,3,545.7384,0.77595
4,3,546.7367,0.89898
4,3,547.7299,0.96551
4,3,548.7455,0.9855
4,3,549.733,0.99223
4,3,550.7463,1.0
4,3,551.735,0.99494
4,3,552.7269,0.98212
4,3,553.7495,0.97823
4,3,554.7253,0.96806
4,3,555.7338,0.95739
4,3,556.7492,0.95718
4,3,557.7446,0.95077
4,3,558.7462,0.93666
4,3,559.726,0.91483
4,3,560.7376,0.86969
4,3,561.725,0.78703
4,3,562.7418,0.67157
4,3,563.7314,0.52745
4,3,564.7473,0.35015
4,3,565.7331,0.19514
4,3,566.7422,0.08616
4,3,567.7462,0.03147
4,3,568.7438,0.01154
4,3,568.9575,0.01
4,4,538.8136,0.01
4,4,538.8526,0.01023
4,4,539.8418,0.02571
4,4,540.8262,0.06262
4,4,541.832,0.13969
4,4,542.8311,0.26652
4,4,543.8498,0.44172
4,4,544.8346,0.63229
4,4,545.8391,0.80206
4,4,546.8374,0.91532
4,4,547.8306,0.9725
4,4,548.8462,0.98849
4,4,549.8337,0.9938
4,4,550.847,1.0
4,4,551.8357,0.99566
4,4,552.8276,0.98544
4,4,553.8502,0.98172
4,4,554.826,0.97571
4,4,555.8345,0.97207
4,4,556.8499,0.97301
4,4,557.8453,0.97067
4,4,558.8469,0.95775
4,4,559.8267,0.93679
4,4,560.8383,0.888
4,4,561.8257,0.79986
4,4,562.8425,0.67005
4,4,563.8321,0.50949
4,4,564.848,0.32482
4,4,565.8338,0.1741
4,4,566.8429,0.07427
4,4,567.8469,0.02712
4,4,568.8445,0.01008
4,4,568.8577,0.01
4,5,538.7649,0.01
4,5,538.9278,0.01106
4,5,539.917,0.02824
4,5,540.9014,0.06845
4,5,541.9072,0.15038
4,5,542.9063,0.28293
4,5,543.925,0.46161
4,5,544.9098,0.65202
4,5,545.9143,0.81653
4,5,546.9126,0.92393
4,5,547.9058,0.97588
4,5,548.9214,0.98962
4,5,549.9089,0.9948
4,5,550.9222,1.0
4,5,551.9109,0.99532
4,5,552.9028,0.98603
4,5,553.9254,0.98281
4,5,554.9012,0.97877
4,5,555.9097,0.97743
4,5,556.9251,0.97943
4,5,557.9205,0.97797
4,5,558.9221,0.96519
4,5,559.9019,0.9452
4,5,560.9135,0.89389
