Band,Channel,Wavelength,RSR
18,1,922.8546,0.01
18,1,923.7966,0.02184
18,1,924.7887,0.04751
18,1,925.7967,0.09395
18,1,926.7992,0.1655
18,1,927.7982,0.26544
18,1,928.796,0.38704
18,1,929.7949,0.52107
18,1,930.7971,0.66052
18,1,931.7816,0.78657
18,1,932.7956,0.8966
18,1,933.7938,0.96072
18,1,934.7996,0.98285
18,1,935.7891,0.99755
18,1,936.7846,1.0
18,1,937.785,0.98283
18,1,938.7887,0.96238
18,1,939.7937,0.92203
18,1,940.7981,0.8366
18,1,941.7998,0.72156
18,1,942.7971,0.5773
18,1,943.7884,0.43303
18,1,944.7958,0.29529
18,1,945.7948,0.17716
18,1,946.7853,0.08972
18,1,947.7904,0.03864
18,1,948.788,0.01615
18,1,949.4097,0.01
18,2,922.8546,0.01
18,2,923.7966,0.02184
18,2,924.7887,0.04751
18,2,925.7967,0.09395
18,2,926.7992,0.1655
18,2,927.7982,0.26544
18,2,928.796,0.38704
18,2,929.7949,0.52107
18,2,930.7971,0.66052
18,2,931.7816,0.78657
18,2,932.7956,0.8966
18,2,933.7938,0.96072
18,2,934.7996,0.98285
18,2,935.7891,0.99755
18,2,936.7846,1.0
18,2,937.785,0.98283
18,2,938.7887,0.96238
18,2,939.7937,0.92203
18,2,940.7981,0.8366
18,2,941.7998,0.72156
18,2,942.7971,0.5773
18,2,943.7884,0.43303
18,2,944.7958,0.29529
18,2,945.7948,0.17716
18,2,946.7853,0.08972
18,2,947.7904,0.03864
18,2,948.788,0.01615
18,2,949.4097,0.01
18,3,923.0112,0.01
18,3,923.0444,0.01023
18,3,924.0445,0.0253
18,3,925.0366,0.05505
18,3,926.0446,0.10684
18,3,927.0471,0.18641
18,3,928.0461,0.29266
18,3,929.0439,0.42152
18,3,930.0428,0.55634
18,3,931.045,0.69459
18,3,932.0295,0.81456
18,3,933.0435,0.91636
18,3,934.0417,0.96655
18,3,935.0475,0.98678
18,3,936.037,1.0
18,3,937.0325,0.9982
18,3,938.0329,0.98013
18,3,939.0366,0.95677
18,3,940.0416,0.90617
18,3,941.046,0.80887
18,3,942.0477,0.68348
18,3,943.045,0.53544
18,3,944.0363,0.39446
18,3,945.0437,0.26227
18,3,946.0427,0.15084
18,3,947.0332,0.07359
18,3,948.0383,0.03123
18,3,949.0359,0.01275
18,3,949.3694,0.01
18,4,922.9903,0.01
18,4,923.2033,0.0117
18,4,924.2034,0.02872
18,4,925.1955,0.06166
18,4,926.2035,0.11737
18,4,927.206,0.2017
18,4,928.205,0.3111
18,4,929.2028,0.44201
18,4,930.2017,0.57712
18,4,931.2039,0.71324
18,4,932.1884,0.83197
18,4,933.2024,0.92914
18,4,934.2006,0.96858
18,4,935.2064,0.98812
18,4,936.1959,1.0
18,4,937.1914,0.99359
18,4,938.1918,0.97593
18,4,939.1955,0.95024
18,4,940.2005,0.89126
18,4,941.2049,0.78995
18,4,942.2066,0.65975
18,4,943.2039,0.51271
18,4,944.1952,0.37136
18,4,945.2026,0.24355
18,4,946.2016,0.13559
18,4,947.1921,0.06398
18,4,948.1972,0.02719
18,4,949.1948,0.0104
18,4,949.2517,0.01
18,5,922.8321,0.01
18,5,923.3332,0.0147
18,5,924.3333,0.03309
18,5,925.3254,0.06901
18,5,926.3334,0.12871
18,5,927.3359,0.2152
18,5,928.3348,0.32767
18,5,929.3326,0.45888
18,5,930.3315,0.59293
18,5,931.3337,0.72778
18,5,932.3182,0.84554
18,5,933.3323,0.93427
18,5,934.3304,0.97342
18,5,935.3362,0.99301
18,5,936.3257,1.0
18,5,937.3213,0.99501
18,5,938.3217,0.9742
18,5,939.3254,0.94209
18,5,940.3304,0.8825
18,5,941.3348,0.77478
18,5,942.3365,0.64366
18,5,943.3337,0.49289
18,5,944.3251,0.35571
18,5,945.3325,0.22888
18,5,946.3315,0.12411
18,5,947.322,0.06028
18,5,948.3271,0.02301
18,5,949.2827,0.01
18,6,922.9077,0.01
18,6,923.2687,0.01325
18,6,924.2688,0.03166
18,6,925.2609,0.06703
18,6,926.2689,0.12476
18,6,927.2714,0.20937
18,6,928.2704,0.31976
18,6,929.2682,0.44961
18,6,930.2671,0.58232
18,6,931.2693,0.71809
18,6,932.2538,0.83748
18,6,933.2678,0.92865
18,6,934.266,0.96979
18,6,935.2718,0.99148
18,6,936.2613,1.0
18,6,937.2568,0.99641
18,6,938.2572,0.97653
18,6,939.2609,0.94564
18,6,940.2659,0.88745
